[000:00:01;468] "FOX NEWS SUNDAY."
[000:54:51;288] THE BEST THING TO SHARE?
[000:54:51;288] A DATA PLAN.
[000:54:53;423] AT&T MOBILE SHARE FOR BUSINESS.
[000:54:55;125] ONE BUCKET OF DATA
[000:54:55;125] FOR EVERYONE ON THE PLAN,
[000:54:57;594] UNLIMITED TALK AND TEXT
[000:54:57;594] ON SMART PHONES.
[000:54:59;829] NOW, EVERYONE'S IN THE SPIRIT
[000:54:59;829] OF SHARING.
[000:55:01;665] HEY, CAN I BORROW YOUR BOAT
[000:55:01;665] THIS WEEKEND?
[000:55:04;534] NO.
[000:55:05;869] [ Male Announcer ]
[000:55:05;869] SHARE MORE. SAVE MORE.
[000:55:07;604] AT&T MOBILE SHARE FOR BUSINESS.
[000:55:09;172] ♪
[000:55:16;513] AT&T MOBILE S♪ARE FOR BUSINESS.
[000:55:16;513] And now there's a new way to do
[000:55:16;513] the same for your dog.
[000:55:20;450] Introducing NEW Purina Dog Chow
[000:55:20;450] Light & Healthy.
[000:55:23;820] It's a no-sacrifices,
[000:55:25;388] calorie-light way to help keep
[000:55:25;388] him trim...
[000:55:27;390] ...with a deliciously tender and
[000:55:27;390] crunchy kibble blend he'll
[000:55:27;390] love...
[000:55:30;894] ...and 20% fewer calories than
[000:55:30;894] Dog Chow.
[000:55:34;564] Discover the lighter side of
[000:55:34;564] strong.
[000:55:37;600] New Purina Dog Chow Light &
[000:55:37;600] Healthy.
[000:56:18;141] >>> IT IS THE SIZE OF THE CITY
[000:56:20;443] OF CHICAGO BURNING IN THE
[000:56:23;546] YOSEMITE NATIONAL FOREST.
[000:56:26;316] DOMINIC DI-NATALE IS WITH US.
[000:56:28;184] >> Reporter: YOU CAN SEE THE
[000:56:28;885] PLUME IN THE SKY, IT DISSIPATED
[000:56:31;020] IN THE PAST FEW MINUTES BECAUSE
[000:56:33;523] THE NATIONAL GUARD SENT IN A
[000:56:35;258] MASS AIR TANKER TO SPRAY OVER
[000:56:36;593] THE AREA.
[000:56:37;327] WE UNDERSTAND FROM CAL FIRE,
[000:56:38;828] THERE ARE MITIGATION EFFORTS TO
[000:56:40;163] GET THAT FIRE IN CHECK.
[000:56:41;865] IT IS SO CLOSE TO THE TOWN.
[000:56:44;834] HAVEN'T HEARD FROM THE DIRECTOR
[000:56:46;436] ON THE GROUND TACKLING THE FIRE.
[000:56:48;471] HE'S SUPPOSED TO PHONE IN ANY
[000:56:50;373] TIME TO TELL US WHAT EXACTLY THE
[000:56:52;909] STATE OF THE FIRE IS.
[000:56:54;911] WE STILL HAVE AN EVACUATION
[000:56:56;946] ADVISORY IN.
[000:56:57;814] THE BIG ISSUE, WILL IT CHANGE TO
[000:57:00;817] EVACUATION WARNING THAT IS
[000:57:02;919] ISSUED BEFORE IMMINENT
[000:57:03;686] EVACUATION ORDER IS PUT IN PLACE
[000:57:05;021] WHERE PEOPLE HAVE TO CLEAR TOWN.
[000:57:06;156] BACK TO YOU, HARRIS.
[000:57:07;957] >> DOMINIC DI-NATALE, CAUGHT IN
[000:57:09;993] THE MOVEMENT AS PEOPLE TRY TO
[000:57:11;327] GET TO SAFER GROUND.
[000:57:12;762] WE APPRECIATE YOUR REPORTING.
[000:57:14;431] THANK YOU.
[000:57:14;931] >>> A BIG DAY AT THE BARKLEY'S
[000:57:17;834] FOR THE MASTERS.
[000:57:19;469] PETER SCHRAEGER IS HERE.
[000:57:21;204] GOLF, GOLF, GOLF.
[000:57:22;372] >> THIS IS ADAM SCOTT, HE WON
[000:57:24;374] THE MASTERS.
[000:57:26;943] CAME INTO THE TOURNAMENT, TIGER
[000:57:28;645] WOODS SUNDAY WAS IN THE MIX,
[000:57:30;046] TIED FOR SECOND, ADAM SCOTT
[000:57:32;382] WINS.
[000:57:32;682] HE JUST DIDN'T SCREW UP.
[000:57:33;950] THAT'S WHAT HAPPENED.
[000:57:34;784] THE REST OF THE GUYS WERE
[000:57:36;319] BOGEYING DOWN THE STRETCH.
[000:57:37;654] SCOTT PLAYED SOLID, WINS BY
[000:57:39;389] THREE STROKES, TIGER WOODS,
[000:57:40;924] SECOND PLACE.
[000:57:41;491] >> I USUALLY DON'T FOLLOW THAT
[000:57:43;927] MUCH LITTLE LEAGUE.
[000:57:45;094] WHEN IT IS JAPAN AGAINST US, THE
[000:57:47;430] UNITED STATES, CALIFORNIA, I
[000:57:48;398] HAVE TO GET IN ON THAT.
[000:57:49;833] >> IT WAS A GREAT GAME.
[000:57:53;236] JAPAN PLAYED CHULA VISTA.
[000:57:55;738] USA WAS UP EARLY, JAPAN WINS
[000:57:58;775] 6-4.
[000:57:59;042] THEIR 14th TITLE.
[000:58:00;410] 23rd TIME A TEAM FROM CALIFORNIA
[000:58:02;178] WAS IN THE CHAMPIONSHIP GAME,
[000:58:03;279] DID NOT WIN.
[000:58:04;347] IT WAS A WELL PLAYED GAME.
[000:58:05;715] HERE ARE THE YOUNG KIDS
[000:58:07;784] CELEBRATING.
[000:58:08;184] >> LOOK AT THEM.
[000:58:10;453] >> HERE ON THE EAST COAST,
[000:58:11;955] EVERYBODY IS TALKING ABOUT THE
[000:58:13;490] JETS, THE QUARTERBACK SITUATION.
[000:58:14;491] ALL OVER THE PAPERS TODAY.
[000:58:15;992] WHAT IS THE DEAL.
[000:58:16;726] >> OUT THERE LAST NIGHT, JETS
[000:58:18;127] PLAYED THE GIANTS IN A PRESEASON
[000:58:20;730] FOOTBALL GAME.
[000:58:21;397] QUARTERBACK MARK SANCHEZ WAS
[000:58:22;765] INSERTED LATE IN THE GAME,
[000:58:24;133] FOURTH QUARTER, GOES DOWN.
[000:58:26;102] MRI TODAY, SHOULDER INJURY.
[000:58:29;072] REPORT IS DAY TO DAY, THAT'S
[000:58:30;573] WHAT THEY'RE SAYING.
[000:58:31;541] NOW THEY'RE LEFT WITH ROOKIE
[000:58:35;178] GINO SMITH, THREW THREE
[000:58:36;479] INTERCEPTIONS LAST NIGHT.
[000:58:37;313] IT IS A BIT OF A MESS.
[000:58:38;948] SEASON STARTS IN LESS THAN TWO
[000:58:42;051] WEEKS.
[000:58:42;352] >>> I WANT TO TELL EVERYBODY,
[000:58:43;953] FOX SPORTS WON, ON THE MAP.
[000:58:46;890] TOMORROW NIGHT, BIG INTERVIEW.
[000:58:48;358] LET ME PLUG YOU, FOR GOODNESS
[000:58:51;694] SAKES.
[000:58:51;995] WE HAVE A BIG INTERVIEW.
[000:58:52;896] >> ONE ON ONE WITH JOE FLACCO.
[000:58:57;767] FOX SPORTS LIVE, FLAGSHIP SHOW,
[000:59:00;470] 11:00 P.M. EASTERN, 8:00
[000:59:05;842] PACIFIC.
[000:59:06;175] TOMORROW, FLACCO, WATCH IT.
[000:59:08;745] >> TOMORROW, PETE SCHRAEGER,
[000:59:10;580] LOVE IT.
[000:59:11;214] FEEL THAT SYNERGY?
[000:59:13;750] >> THEY LOVE IT HERE AT THE NEWS
[000:59:16;920] CORP. BUILDING.
[000:59:17;887] >>> AN UPDATE TO THE U.S.
[000:59:19;022] VERSION OF SPAIN'S RUNNING OF
[000:59:20;523] THE BULLS.
[000:59:21;324] TOLD YOU LAST NIGHT, THE GREAT
[000:59:23;259] BULL RUN KICKED OFF IN VIRGINIA.
[000:59:25;128] FIRST WITH A MISHAP IN THE SKY.
[000:59:27;330] I THOUGHT IT WOULD HAVE TO DO
[000:59:28;398] WITH BULLS.
[000:59:29;899] IT DIDN'T.
[000:59:30;700] A DRONE WITH VIDEO CAMERAS TO
[000:59:33;069] FILM THE RUN CRASHED INTO THE
[000:59:34;671] STANDS.
[000:59:35;071] PEOPLE WERE RUNNING, BUT FROM
[000:59:37;473] THAT THING.
[000:59:38;274] ONE SPECTATOR WAS HIT IN THE
[000:59:40;076] FACE.
[000:59:40;376] TWO RUNNERS RUSHED TO THE
[000:59:41;878] HOSPITAL, AT LEAST ONE WAS
[000:59:44;213] TRAMPLED.
[000:59:44;914] WE'RE TOLD EVERYBODY SURVIVED.
[000:59:46;916] THIS WAS THE FIRST OF NINE BULL
[000:59:48;718] RUNNING EVENTS HAPPENING ACROSS
[000:59:49;686] THE THE COUNTRY.
[000:59:50;720] WHAT'S NEXT, TEXAS I THINK?
[000:59:54;123] AND FLORIDA.
[000:59:54;657] WE GOT TO GO SEE THAT.
[000:59:56;225] BEWARE OF THE DRONES.
[000:59:57;093] THERE YOU GO.
[000:59:58;561] THAT'S HOW FOX REPORTS THIS
[000:59:59;963] SUNDAY, AUGUST 25th, 2013.
[001:00:02;565] HAPPY BIRTHDAY TO MY MOM.
[001:00:03;766] I CAN'T TELL YOU HER AGE BECAUSE
[001:00:07;604] SHE WON'T TELL ME.
[001:00:08;104] I'M HARRIS FAULKNER.
[001:00:09;639] THANKS FOR WATCHING.
[001:00:10;673] HAVE A GREAT WEEK EVERYBODY.
[001:00:16;312] "HUCKABEE" STARTS.
[001:00:19;649] >>> TONIGHT ON "HUCKABEE," WITH
[001:00:21;818] HIS SIGNATURE LEGISLATION
[001:00:22;986] BROKEN, THE PRESIDENT CONTINUES
[001:00:24;053] TO BLAME REPUBLICANS.
[001:00:25;121] >> THE ONE UNIFYING PRINCIPLE IN
[001:00:27;757] THE REPUBLICAN PARTY AT THE
[001:00:29;258] MOMENT IS MAKING SURE THAT 30
[001:00:31;961] MILLION PEOPLE DON'T HAVE HEALTH
[001:00:33;096] CARE.
[001:00:33;396] >> BUT IT IS NOT JUST THE GOP
[001:00:35;932] THAT DOESN'T LIKE OBAMA CARE.
[001:00:37;300] >> I JUST SEE A HUGE TRAIN WRECK
[001:00:39;435] COMING DOWN.
[001:00:40;169] >> I'M OF THE BELIEF THE ACA IS
[001:00:43;906] PROBABLY THE MOST COMPLEX PIECE
[001:00:45;341] OF LEGISLATION EVER PASSED BY
[001:00:47;276] THE UNITED STATES CONGRESS.
[001:00:48;011] >> DEMOCRATS, THE IRS, AND EVEN
[001:00:50;246] UNIONS HAVE MAJOR ISSUES WITH
[001:00:52;415] OBAMA CARE.
[001:00:52;849] THE PRESIDENT SAYS NO ONE HAS A
[001:00:55;618] BETTER PLAN.
[001:00:57;153] >> WHAT ARE THE SOLUTION
