[000:00:05;17] [SOBBING]
[000:45:28;16] ROW, SHEP.  
[000:45:29;18] >> Shepard: WELL SHE HAS  
[000:45:30;15] PERSPECTIVE NOW TRACE.  
[000:45:32;15] IF I IF I FILL US IN ON ALL  
[000:45:34;17] THIS PERSPECTIVE.  
[000:45:35;06] >> YEAH, SHE SAID THAT IF  
[000:45:36;11] SHE ASKED FOR THE DEATH  
[000:45:37;16] PENALTY IT WOULD BE LIKE  
[000:45:38;26] COMMITTING SUICIDE AND THAT  
[000:45:40;05] WOULD BE EXTREMELY PAINFUL  
[000:45:41;22] FOR HER FAMILY AND SHE SAYS  
[000:45:43;04] HER FAMILY HAS BEEN THROUGH  
[000:45:44;21] ENOUGH PAIN.  
[000:45:45;13] SHE SAYS IF SHE GETS LIFE  
[000:45:47;03] IN PRISON, SHE WOULD TEACH  
[000:45:49;11] INMATES SPANISH EVEN SIGN  
[000:45:51;11] LANGUAGE.  
[000:45:51;26] MAYBE EVEN START UP A BOOK  
[000:45:53;11] CLUB.  
[000:45:53;24] SHE SAYS THE TIME FOR  
[000:45:55;16] HEALING HAS BEGUN.  
[000:45:57;04] LISTEN.  
[000:45:57;27] >> THIS IS THE WORST  
[000:45:59;09] MISTAKE OF MY LIFE.  
[000:46:01;15] THE WORST THING I HAVE EVER  
[000:46:03;19] DONE.  
[000:46:04;02] IT'S THE WORST THING I EVER  
[000:46:05;21] COULD HAVE SEEN MYSELF  
[000:46:07;03] DOING.  
[000:46:07;16] IN FACT, I COULDN'T SEE  
[000:46:08;19] MYSELF DOING IT BEFORE THAT  
[000:46:09;22] DAY I WOULDN'T EVEN WANT TO  
[000:46:11;10] HARM A SPIDER.  
[000:46:13;02] >> YOU COULD SEE JODI ARIAS  
[000:46:14;22] WAS CLEARLY NERVOUS AS SHE  
[000:46:16;02] WAS READING THAT STATEMENT.  
[000:46:17;07] THE FAMILY OF TRAVIS  
[000:46:18;22] ALEXANDER SAT IN THE  
[000:46:20;06] BACKGROUND MOTIONLESS.  
[000:46:23;23] JODI ARIAS WILL SPEAK WITH  
[000:46:24;24] FOX TONIGHT 9:30 LOCAL TIME  
[000:46:26;17] AND WE WILL AIR PARTS OF  
[000:46:27;21] THAT INTERVIEW TOMORROW.  
[000:46:31;02] SHEP?  
[000:46:31;15] >> Shepard: WITH THE FOX  
[000:46:32;07] BROADCAST NETWORK OR FOX  
[000:46:33;08] NEWS CHANNEL OR WHAT?  
[000:46:33;29] >> SHE IS INTERVIEWING WITH  
[000:46:35;25] LOCAL FOX AS WELL AS FOX  
[000:46:37;09] NEWS CHANNEL TONIGHT AT  
[000:46:39;20] 9:30.  
[000:46:40;03] SO WE WILL HAVE THAT ON  
[000:46:41;03] TAPE.  
[000:46:41;16] BRING IT BACK TO THE TRUCK  
[000:46:42;18] FEED IT AND IT CAN BE  
[000:46:45;15] BROADCAST ANY TIME AFTER  
[000:46:46;26] 11:00 TONIGHT LOCAL.  
[000:46:48;16] >> Shepard: I'M SURE LIFE  
[000:46:49;10] WON'T BE COMPLETE WITHOUT  
[000:46:50;07] IT TRACE GALLAGHER LIVE IN  
[000:46:51;12] LOS ANGELES.  
[000:46:51;29] THANK YOU.  
[000:46:52;15] THERE IS A NEW DEVELOPMENT  
[000:46:53;29] NOT JUSTICE DEPARTMENT'S  
[000:46:55;10] SEIZURE OF JOURNALIST  
[000:46:56;13] RECORDS INCLUDING THE  
[000:46:57;04] PERSONAL INFORMATION OF FOX  
[000:46:57;28] NEWS CORRESPONDENT.  
[000:46:58;23] THAT STRAIGHT AHEAD.  
[000:46:59;25] AND BACK HERE IN MOORE A  
[000:47:01;25] COMMUNITY DEALING WITH  
[000:47:02;22] TREMENDOUS SHOCK AND GRIEF.  
[000:47:04;22] BUT AMID THE DEATH AND  
[000:47:06;01] DESTRUCTION A SYMBOL OF  
[000:47:08;03] STRENGTH.  
[000:47:08;18] RESCUE CREWS SEARCHING FOR  
[000:47:09;25] SURVIVORS YESTERDAY FOUND  
[000:47:10;20] AN AMERICAN FLAG AND RAISED  
[000:47:12;20] OLD GLORY ABOVE THE RUBBLE.  
[000:47:15;06] FOX NEWS COVERAGE  
[000:47:16;18] CONTINUES.  
[000:47:17;04] THAT'S NEXT.
[000:47:23;07] ♪
[000:47:27;07] AS YOUR LIFE CHANGES    FIDELITY IS
[000:47:28;02] THERE
[000:47:30;11] R YOUR PERSONAL ECONOMY,
[000:47:31;24] HELPING YOU READJUST    ALONG THE
[000:47:32;17] WAY,
[000:47:34;27] REFOCUS AS CAREERS CHANGE
[000:47:36;26] AND KIDS HEAD OFF TO COLLEGE
[000:47:39;07] AND REVISIT YOUR INVESTMENTS
[000:47:41;08] AS RETIREMENT GETS CLOSER.
[000:47:42;16] WHEREVER YOU ARE TODAY
[000:47:44;05] FIDELITY'S GUIDANCE    CAN HELP YOU
[000:47:45;16] FINE-TUNE    YOUR PERSONAL ECONOMY.
[000:47:48;02] START TODAY WITH A FREE
[000:47:49;04] ONE-ON-ONE REVIEW    OF YOUR RETIREMENT
[000:47:49;28] PLAN.
[000:47:53;07] Tony used Priceline to book this 
[000:47:53;27] 4 star hotel. Tell 'em why.  Free
[000:47:54;19] breakfast  With Express Deals, you
[000:47:56;22] can save   big and find a hotel  
[000:47:57;23] with free breakfast   without bidding.
[000:48:01;16] Don't you just love those   little
[000:48:02;06] cereal boxes?  Priceline savings 
[000:48:03;08] without the bidding.
[000:48:27;19] FOR 150 YEARS, CALIFORNIA EDUCATORS
[000:48:28;14] HAVE STOOD UP FOR WHAT HAPPENS IN
[000:48:29;02] THE CLASSROOM.
[000:48:30;27] IN 1866, PIONEERING
[000:48:33;18] THE FIRST FREE PUBLIC SCHOOLS
[000:48:35;04] FOR ALL KIDS.
[000:48:37;01] AND TODAY STILL STANDING STRONG,
[000:48:37;29] WITH EFFORTS TO CLOSE ACHIEVEMENT
[000:48:38;18] GAPS...
[000:48:39;25] REDUCE CLASS SIZES...
[000:48:41;25] AND GIVE EVERY STUDENT
[000:48:43;05] A WELL-ROUNDED EDUCATION.
[000:48:44;06] EVEN AS TIME AND TECHNOLOGY CHANGE
[000:48:44;24] THE WAY WE TEACH,
[000:48:46;08] OUR COMMITMENT TO CHILDREN NEVER WILL.
[000:48:49;05] BECAUSE THE CALIFORNIA TEACHERS ASSOCIATION
[000:48:51;10] KNOWS QUALITY PUBLIC SCHOOLS
[000:48:53;12] MAKE A BETTER CALIFORNIA FOR ALL OF
[000:48:54;01] US.
[000:49:03;23] >> Shepard: WE'RE LEARNING  
[000:49:05;14] MORE ABOUT HOW THE FEDS  
[000:49:06;06] TARGETED A FOX NEWS  
[000:49:06;26] CORRESPONDENT AS PART OF A  
[000:49:07;20] LEAK INVESTIGATION.  
[000:49:08;10] AS IT TURNS OUT THE FEDS  
[000:49:09;04] DIDN'T JUST ACCESS JAMES  
[000:49:10;09] ROSEN'S PERSONAL EMAIL HIS  
[000:49:11;23] G MAIL ACCOUNT THEY ALSO  
[000:49:13;02] GOT AHOLD OF HIS PHONE  
[000:49:14;26] RECORDS.  
[000:49:15;10] SHANNON BREAM LIVE IN THE  
[000:49:16;08] D.C. NEWSROOM TONIGHT.  
[000:49:17;21] SHANNON?  
[000:49:18;06] >> WELL, SHEPARD PERSONAL  
[000:49:19;13] EMAILS AND PHONE RECORDS  
[000:49:20;13] AND WE ARE LEARNING TONIGHT  
[000:49:21;11] THEY GO FAR BEYOND JUST  
[000:49:23;01] JAMES ROSEN'S INFORMATION.  
[000:49:23;29] IN A COURT FILING MADE BY  
[000:49:25;11] THE U.S. ATTORNEY'S OFFICE  
[000:49:27;16] DATED OCTOBER 13TH, 2011  
[000:49:29;08] THE GOVERNMENT DETAILS  
[000:49:30;09] NUMEROUS PIECES OF EVIDENCE  
[000:49:32;00] THAT HAD T. HAS COLLECTED  
[000:49:33;09] INCLUDING SCORES OF PHONE  
[000:49:34;03] RECORDS THAT HAVE AREA  
[000:49:34;26] CODES AND EXCHANGES THAT  
[000:49:35;24] MATCH UP TO MANY FOX NEWS  
[000:49:37;22] OFFICE HARD LINES AND  
[000:49:39;22] EMPLOYEE'S CELL PHONES.  
[000:49:40;21] IN THE REDACTED VERSION OF  
[000:49:41;27] THAT GOVERNMENT WE CANNOT  
[000:49:42;27] SEE THE FINAL FOUR NUMBERS  
[000:49:43;26] IN EACH OF THE PHONE  
[000:49:44;29] NUMBERS BUT THE AREA CODE  
[000:49:46;20] AND EXCHANGE MATCH UP TO  
[000:49:47;27] FOX EMPLOYEE AND THE OFFICE  
[000:49:49;25] PHONES INCLUDING THE PHONE  
[000:49:50;21] LINES THAT RUN TO OUR WORK  
[000:49:52;12] SPACE AT THE WHITE HOUSE  
[000:49:53;20] PENTAGON, AND STATE  
[000:49:55;00] DEPARTMENT.  
[000:49:55;16] THE RECORDS ALSO APPEAR TO  
[000:49:56;11] SHOW THE JUSTICE DEPARTMENT  
[000:49:57;18] GATHERED PHONE RECORDS  
[000:49:58;19] LINKED TO FOX NEWS  
[000:50:00;07] EXECUTIVES.  
[000:50:00;23] WE HAVE REACHED OUT TO THE  
[000:50:01;17] JUSTICE DEPARTMENT AND  
[000:50:02;16] WHITE HOUSE FOR COMMENT.  
[000:50:04;05] WHITE HOUSE PRESS SECRETARY  
[000:50:04;29] JAY CARNEY TELLS OUR  
[000:50:06;17] COLLEAGUE ED HENRY HE QUOTE  
[000:50:08;28] CAN'T COMMENT ON ONGOING  
[000:50:10;11] CRIMINAL INVESTIGATION.  
[000:50:11;24] THESE NEW REVELATIONS COME  
[000:50:12;24] ON THE HEELS OF NEWS THAT  
[000:50:14;04] AN FBI AGENT SIGNED AN  
[000:50:15;11] AFFIDAVIT ACCUSING ROSEN OF  
[000:50:16;16] COMMITTING A CRIME BY  
[000:50:18;02] ALLEGEDLY OBTAINING  
[000:50:18;25] INFORMATION FROM A STATE  
[000:50:19;27] DEPARTMENT EMPLOYEE AND  
[000:50:20;28] THAT LED TO A SEARCH  
[000:50:21;24] WARRANT THAT GAVE THE  
[000:50:22;22] GOVERNMENT ACCESS TO  
[000:50:23;26] ROSEN'S PERSONAL EMAIL  
[000:50:26;23] ACCOUNT.  
[000:50:28;14] SHEP?  
[000:50:28;27] >> Shepard: SHANNON, THE  
[000:50:29;19] MAN THAT WAS RUNNING THE  
[000:50:31;00] IRS WHEN IT TARGETED  
[000:50:32;09] CONSERVATIVE GROUPS IS  
[000:50:33;01] REFUSING TO APOLOGIZE TO  
[000:50:34;02] THOSE GROUPS.  
[000:50:35;01] THE FORMER COMMISSIONER  
[000:50:37;05] DOUGLAS SHULLMAN TESTIFIED  
[000:50:39;04] ABOUT THE SCANDAL ON  
[000:50:40;21] CAPITOL HILL FOR THE FIRST  
[000:50:41;21] TIME TODAY.  
[000:50:42;27] HE HE SAYS IS HE DEEPLY  
[000:50:45;12] SADDENED BY WHAT HAPPENED  
[000:50:46;11] BUT INSISTS IS HE NOT TO  
[000:50:51;29] BLAME.  
[000:50:58;10] I'M CERTAINLY NOT  
[000:51:01;16] RESPONSIBLE FOR FORMING A  
[000:51:03;15] LIST THAT HAD INAPPROPRIATE  
[000:51:05;29] MATERIAL ON IT WHEN THAT  
[000:51:07;06] SAID IT HAPPENED ON MY  
[000:51:08;06] WATCH AND I'M IT HAPPENED  
[000:51:11;04] ON MY WATCH.  
[000:51:11;21] >> THE IRS OFFICIAL WHO  
[000:51:12;28] FIRST RESEALED THE AGENCY  
[000:51:14;08] TARGETING CONSERVATIVES IS  
[000:51:15;18] APPARENTLY FINISHED  
[000:51:16;13] TALKING.  
[000:51:16;27] HER LAWYER SAYS LOTS --  
[000:51:20;00] LERNER HAD -- SAYS THAT  
[000:51:21;08] LERNER WILL TAKE THE FIFTH  
[000:51:22;09] TOMORROW WHEN IT IS HER  
[000:51:23;28] TURN TO TESTIFY UP ON  
[000:51:24;24] CAPITOL HILL.  
[000:51:29;02] WILT HERE IN OKLAHOMA,  
[000:51:30;08] PICTURES HAVE SHOWN ONLY A  
[000:51:31;07] FRACTION OF THE  
[000:51:32;01] DEVASTATION.  
[000:51:32;17] TO GIVE YOU A BETTER IDEA  
[000:51:33;23] OF JUST HOW FAR IT  
[000:51:35;13] STRETCHES.  
[000:51:36;15] ONE SHOT -- I SHOT THE  
[000:51:37;27] VIDEO THIS AFTERNOON OF OUR  
[000:51:39;02] TEAM'S DRIVE FROM OKLAHOMA  
[000:51:40;18] AND CITY TO THE AIRPORT  
[000:51:42;00] FROM THE AIRPORT THERE TO  
[000:51:43;19] HERE.  
[000:51:44;03] GETTING AROUND IS DIFFICULT  
[000:51:45;06] WITH DEBRIS CLOGGING SOME  
[000:51:47;04] STREETS.  
[000:51:47;18] HOUSE AFTER HOUSE.  
[000:51:48;08] BUSINESS AFTER BUSINESS  
[000:51:49;00] WIPED OUT IN SOME CASES.  
[000:51:50;03] WE PASSED ONE FAMILY'S  
[000:51:52;05] HOME NOW JUST A CAMPING  
[000:51:53;27] TENT TO SHIELD THEM FROM  
[000:51:54;29] THE RAIN.  
[000:51:56;20] AND THEN THERE ARE SOME OF  
[000:51:57;27] THE SMALL VICTIMS IN THIS  
[000:52:00;01] DISASTER.  
[000:52:00;16] PEOPLE'S PETS.  
[000:52:01;12] AND DESPITE ALL THE LOSSES,  
[000:52:02;28] SOME FAMILIES HAVE BEEN  
[000:52:04;11] GETTING MUCH OF THAT REALLY  
[000:52:05;26] GOOD NEWS.  
[000:52:06;17] AND THAT'S NEXT.
[000:52:12;02] lief, try Dulcolax  laxative tablets.
[000:52:14;09] Dulcolax provides gentle relief  overnight
[000:52:15;04] unlike Miralax  and Metamucil that
[000:52:17;25] can take up  to 3 days.  For predictable
[000:52:19;26] relief try  Dulcolax.
[000:52:23;23] Our landing time got    moved back
[000:52:24;12] another hour.  ( crowd chatters and
[000:52:25;07] groans )
[000:52:30;06] Hunger creeping up on you ?
[000:52:31;28] Stash a Ritz  Crackerfuls.
[000:52:33;09] Made with real cheese  and whole grain.
[000:52:34;27] Don't get caught hungry.  Ritz Crackerfuls.
[000:52:38;08] LOOK WHAT MOMMY  IS HAVING.  MOMMY'S
[000:52:39;08] HAVING  A FRENCH FRY.  YES SHE IS,
[000:52:40;27] YES SHE IS.  [ bop ]
[000:52:45;11] [ Male Announcer ]    COULD'VE HAD
[000:52:46;02] A V8.    100% VEGETABLE JUICE    WITH
[000:52:48;08] THREE OF YOUR DAILY    VEGETABLE SERVINGS
[000:52:50;18] IN EVERY LITTLE BOTTLE.
[000:53:08;13] I'M SO GLAD YOU CALLED.  THANK YOU.
[000:53:10;29] WE'RE NOT IN LONDON,  ARE WE?  NO.
[000:53:13;11] WHY?  APPARENTLY  MY DEBIT CARD IS.
[000:53:15;12] WHAT?  I KNOW.  DON'T WORRY,  WE HAVE
[000:53:17;13] CANCELLED YOUR OLD CARD.  GREAT. THANK
[000:53:19;14] YOU.  IN ADDITION TO US  MONITORING
[000:53:20;25] YOUR ACCOUNTS  FOR UNUSUAL ACTIVITY,
[000:53:23;06] YOU COULD ALSO SET UP  FREE ACCOUNT
[000:53:23;25] ALERTS.  OKAY.    [ Female Announcer
[000:53:25;26] ]    AT WELLS FARGO WE'RE WORKING
[000:53:26;28] AROUND THE CLOCK    TO HELP PROTECT
[000:53:27;21] YOUR MONEY    AND FINANCIAL    INFORMATION.
[000:53:30;22] HERE'S YOUR  TEMPORARY CARD.  WELCOME
[000:53:32;03] BACK.  HOW WAS LONDON?    [ Female
[000:53:33;20] Announcer ]    WHEN PEOPLE TALK, 
[000:53:35;12] GREAT THINGS HAPPEN.    
[000:55:44;19] >> Shepard: DEADLY TORNADO  
[000:55:46;08] HERE IN OKLAHOMA HAS  
[000:55:46;29] SEPARATED MANY PETS FROM  
[000:55:47;22] THEIR OWNERS.  
[000:55:48;09] DURING AN EMOTIONAL  
[000:55:48;29] INTERVIEW WITH A CBS  
[000:55:49;20] STATION HERE, ONE WOMAN  
[000:55:50;15] DESCRIBED HOW THE CHAOS OF  
[000:55:52;02] THE STORM TORE HER DOG FROM  
[000:55:53;29] HER BUT WATCH WHAT HAPPENED  
[000:55:55;15] NEXT.  
[000:55:57;20] >> HI PUPPY.  
[000:56:00;06] >> OH, OH, OH BLESS YOUR  
[000:56:08;14] LITTLE BITTY HEART.  
[000:56:11;00] >> Shepard: THAT HAPPENED  
[000:56:11;24] LIVE ON TV.  
[000:56:12;10] AND BEFORE THEY KNEW IT THE  
[000:56:13;08] DOG WAS UP AND WALKING  
[000:56:14;16] AROUND.  
[000:56:15;00] SHE HAD NO IDEA THE DOG WAS  
[000:56:15;26] THERE THERE ARE OTHER  
[000:56:17;08] STORIES LIKE THIS ONE.  
[000:56:18;10] IN THIS PICTURE ONE MEMBER  
[000:56:20;22] OF THE ONE DAY RANCH PET  
[000:56:23;23] RESCUE SAVES A KITTEN FROM  
[000:56:25;07] DEBRIS IN A MOBILE HOME.  
[000:56:26;10] HERE A MAN IS ABLE TO GET A  
[000:56:27;23] ROPE AROUND THIS HORSE'S  
[000:56:30;07] NECK TO HELP IT OFF THE  
[000:56:31;22] WRECKAGE OF WHAT WAS ONCE A  
[000:56:34;04] DAY CARE.  
[000:56:35;12] AND ON THIS DAY IN 1881,  
[000:56:38;15] HUMANITARIAN CLARA BARTON  
[000:56:40;20] AND SOME FRIENDS FOUNDED  
[000:56:42;11] THE AMERICAN RED CROSS IN  
[000:56:43;15] WASHINGTON D.C.  
[000:56:44;18] CLARA BARTON HAD GAINED  
[000:56:47;01] FAME YEARS EARLIER AS A  
[000:56:48;11] NURSE ON THE FRONT LINES OF  
[000:56:49;06] THE CIVIL WAR.  
[000:56:50;02] WHEN THE FIGHTING ENDED  
[000:56:51;04] THE ANGEL OF THE  
[000:56:52;26] BATTLEFIELD DISCOVERED THE  
[000:56:53;25] SWISS BASED RED CROSS  
[000:56:55;22] NETWORK WHILE VISITING  
[000:56:57;14] EUROPE.  
[000:56:57;28] BACK IN THE STATES SHE  
[000:56:59;07] STARTED A U.S. BRANCH AND  
[000:57:00;21] LED ITS FIRST DISASTER  
[000:57:03;15] RELIEF PROGRAMS NOW OF  
[000:57:04;07] COURSE THE RED CROSS  
[000:57:05;03] RESPONDS TO ROUGHLY 70,000  
[000:57:06;24] DIFFERENT DISASTERS EACH  
[000:57:07;28] YEAR WITH THE HELP OF  
[000:57:09;19] GENEROUS CONTRIBUTIONS OF  
[000:57:10;15] TIME BLOOD AND MONEY FROM  
[000:57:11;20] THE AMERICAN PUBLIC.  
[000:57:13;09] BUT ITS MISSION TO SUPPORT  
[000:57:14;17] THOSE IN NEED BEGAN 132  
[000:57:16;23] YEARS AGO TODAY TODAY THAT  
[000:57:22;09] MISSION CONTINUES AS THE  
[000:57:23;18] RED CROSS WORKS TO HELP  
[000:57:24;21] VICTIMS IN THE HEARTLAND.  
[000:57:25;29] IF YOU WOULD LIKE TO  
[000:57:27;08] DONATE.  
[000:57:27;22] CAN YOU CALL THE RED CROSS  
[000:57:28;16] AT 1-800-RED-CROSS.  
[000:57:31;04] AND NOW YOU KNOW THE NEWS  
[000:57:32;06] FOR THIS TUESDAY MAY THE  
[000:57:35;00] 21st 2013.  
[000:57:35;28] I'M SHEPARD SMITH LIVE IN  
[000:57:37;14] MOORE, OKLAHOMA.  
[000:57:39;00] OKLAHOMA STRONG.  
[000:57:40;07] O'REILLY IS UP RIGHT NOW.  
[000:57:43;08] >> Bill: THE O'REILLY  
[000:57:43;29] FACTOR IS ON.  
[000:57:44;29] TONIGHT:  
[000:57:45;13] >> HOW DID THIS HAPPEN?  
[000:57:47;02] >> MR. CHAIRMAN, I CAN'T  
[000:57:48;04] SAY THAT I KNOW THAT  
[000:57:49;19] ANSWER.  
[000:57:50;03] >> ONCE AGAIN THEY DON'T  
[000:57:51;01] KNOW.  
[000:57:51;14] THE FORMER CHIEF OF THE IRS  
[000:57:52;18] SAYS HE HAS NO IDEA WHY  
[000:57:54;28] CONSERVATIVES WERE  
[000:57:56;10] TARGETED.  
[000:57:56;25] THIS ON THE HEELS OF THE  
[000:57:57;27] ATTORNEY GENERAL SAYING HE  
[000:57:58;24] HAS NO IDEA WHY THE JUSTICE  
[000:58:02;07] DEPARTMENT IS SNOOPING  
[000:58:03;07] AROUND REPORTERS.  
[000:58:04;03] >> I DON'T KNOW WHAT  
[000:58:04;24] HAPPENED THERE ABOUT  
[000:58:06;13] INTERACTION BETWEEN THE  
[000:58:07;09] A.P. AND THE JUSTICE  
[000:58:09;00] DEPARTMENT.  
[000:58:09;16] I WAS RECUSED FROM THE  
[000:58:10;24] CASE.  
[000:58:11;07] >> AND PRESIDENT OBAMA  
[000:58:11;29] SAYING HE HAS NO IDEA HOW  
[000:58:14;09] BENGHAZI GOT SO SCREWED UP.  
[000:58:15;20] >> WE WERE NOT CLEAR WHO  
[000:58:17;00] EXACTLY HAD CARRIED IT OUT  
[000:58:17;27] AND HOW IT OCCURRED AND  
[000:58:19;20] WHAT THE MOTIVATIONS WERE.  
[000:58:22;09] >> Bill: TONIGHT CHARLES  
[000:58:23;01] KRAUTHAMMER AND I WILL  
[000:58:24;05] ANALYZE THE SEE NO EVIL  
[000:58:25;22] STRATEGIES.  
[000:58:26;08] >> WE HAD TO PULL A CAR OUT  
