[000:00:00;09] [ LAUGHTER ]  
[000:45:20;05] >> BILL SAND HAS MADE  
[000:45:22;07] FLORIDA RICH IN TOURIST  
[000:45:23;24] KICKING IN 70 BILLION A  
[000:45:25;06] YEAR TO THE STATE'S  
[000:45:26;04] ECONOMY.  
[000:45:26;18] BUT YOU SEE HOW I'M  
[000:45:27;23] DROPPING DOWN NOW 4 FEET ON  
[000:45:29;01] TO THE BEACH?  
[000:45:29;20] THAT IS BEACH EROSION.  
[000:45:30;29] AND IN MIAMI, DATED AND  
[000:45:32;29] BROWARD COUNTIES ALONE THEY  
[000:45:34;11] HAVE RUN OUT OF OFFSHORE  
[000:45:36;22] SAND TO DREDGE.  
[000:45:38;01] IN BROWARD THEY ARE LOOKING  
[000:45:39;03] AT RECYCLING BROKEN BOTTLES  
[000:45:41;06] OF GLASS CRUSHING THEM DOWN  
[000:45:42;11] TO THE SAME SIZE AND  
[000:45:45;02] COARSENESS OF NATIONAL SAND  
[000:45:46;15] TO REPLENISH THE BEACH.  
[000:45:47;20] >> EVERYTHING SEEMS TO  
[000:45:48;16] INDICATE THAT BY ALL  
[000:45:50;05] PHYSICAL AND BIOLOGICAL  
[000:45:51;16] MEASURES IT'S, YOU KNOW,  
[000:45:52;24] PERFORMS AS SAND.  
[000:45:55;20] >> THE FINAL GLASS TO STAND  
[000:45:59;10] TRIAL IS WATER TO SEE HOW  
[000:46:01;05] IT PERFORMS IN THE SURF AND  
[000:46:04;12] CONFIDENCE IN S. HIGH.  
[000:46:05;05] >> THE IDEA THAT WE COULD  
[000:46:06;09] TAKE GLASS THAT WAS BEING  
[000:46:07;10] THROWN AWAY, TURN IT INTO  
[000:46:09;11] SAND, IN ESSENCE IT'S  
[000:46:12;01] BROWARD COUNTY'S GOLD.  
[000:46:13;06] >> AND A MAJORITY OF THE  
[000:46:14;02] BEACH GOERS WE SPOKE WITH  
[000:46:15;19] SUPPORT THIS SHARP IDEA  
[000:46:17;04] JUST AS LONG AS THE NEW  
[000:46:18;10] SAND IS NOT SHARP.  
[000:46:20;21] >> I THINK IT'S A GREAT  
[000:46:22;13] IDEA.  
[000:46:22;26] AS LONG AS THEY RESEARCH IT  
[000:46:25;03] THOROUGHLY.  
[000:46:25;19] IT WOULDN'T BOTHER ME AT  
[000:46:26;16] ALL.  
[000:46:26;28] I'M SURE I WOULDN'T EVEN  
[000:46:27;22] NOTICE IT.  
[000:46:28;13] >> NOW, OF COURSE, GLASS IS  
[000:46:29;28] MADE FROM SAND HEATED UP TO  
[000:46:33;06] 3700 DEGREES FAHRENHEIT.  
[000:46:34;02] SAND IS ALSO NOT VERY  
[000:46:35;13] CHEAP.  
[000:46:35;26] IT COSTS A MILLION DOLLARS  
[000:46:36;29] FOR A HALF MILE OF BEACH.  
[000:46:38;26] AND IF YOU HAVE TO SHIP IT  
[000:46:39;27] FOR THE BAHAMAS OR DRIVE IT  
[000:46:41;13] FROM UP NORTH, THESE  
[000:46:42;14] COUNTIES COULD BE LOOKING  
[000:46:44;01] AT EXPLODING BUDGETS BILL.  
[000:46:46;14] >> Bill: THAT'S HOW YOU  
[000:46:47;06] DRESS FOR WORK EVERY DAY  
[000:46:48;20] PHIL.  
[000:46:49;03] THANK YOU, SIR.  
[000:46:49;25] PHIL KEATING ON THE BEACH  
[000:46:50;20] IN MIAMI.  
[000:46:52;05] A FAREWELL SPEECH TODAY FOR  
[000:46:54;03] OUTGOING DIRECTOR OF  
[000:46:55;05] HOMELAND SECURITY JANET  
[000:46:56;22] NAPOLITANO.  
[000:46:57;08] SHE STEPS DOWN IN ABOUT A  
[000:46:58;14] WEEK AND SHE SAYS THERE IS  
[000:46:59;23] ONE THING HER SUCCESSOR  
[000:47:01;10] SHOULD NOT BE WITHOUT.  
[000:47:03;10] THAT'S AHEAD INSIDE "THE  
[000:47:05;05] FOX REPORT."
[000:47:20;23] Reinforced with scratch-  resistant
[000:47:21;14] glass
[000:47:24;01] and a unibody  Made Kevlar Strong.
[000:47:27;16] Okay Google Now.  Call My Droid.
[000:47:29;02] The new  Droid Ultra by Motorola.
[000:47:30;29] When strength matters,  Droid Does.
[000:47:36;21] [ SCHOOL BELL RINGS ]    [ Male Announcer
[000:47:37;24] ]    FROM THE LAST DAY OF SCHOOL,
[000:47:38;21] BACK TO THE FIRST.    THEY'RE GONNA
[000:47:40;17] MAKE EVERYTHING    FROM POSTERS  
[000:47:42;09] TO DO IT YOURSELF TATTOOS.    SO MAKE
[000:47:43;08] SURE THEY'VE GOT THE    SHARPIES TO
[000:47:44;01] MAKE THEIR MARK.    THIS WEEK ONLY
[000:47:45;16] GET SHARPIE    FIVE PACKS FOR A DOLLAR.
[000:47:48;24] STAPLES HAS IT.    STAPLES.    THAT
[000:47:49;29] WAS EASY.
[000:47:52;04] [ Male Announcer ]    THIS IS BRAD.
[000:47:53;06] HIS DAY OF COACHING    BEGINS WITH
[000:47:53;28] KNEE PAIN, WHEN...  [ Man ] HEY, BRAD,
[000:47:54;29] WANT TO TRADE THE ALL-DAY RELIEF 
[000:47:56;26] OF TWO ALEVE  FOR SIX TYLENOL?  WHAT'S
[000:47:58;17] THE CATCH?  THERE'S NO CATCH.  YOU
[000:47:59;29] WANT ME TO GIVE UP  MY TWO ALEVE FOR
[000:48:00;20] SIX TYLENOL?  NO.  FOR MY KNEE PAIN
[000:48:03;09] NOTHING BEATS MY ALEVE.
[000:49:24;04] >> Bill: SOCIAL NETWORKING  
[000:49:25;29] GIANT FACEBOOK SAYS  
[000:49:26;19] GOVERNMENTS AROUND THE  
[000:49:27;10] WORLD HAVE DEMANDED  
[000:49:28;00] INFORMATION ON USERS TENS  
[000:49:28;23] OF THOUSANDS OF TIMES SINCE  
[000:49:30;22] JANUARY.  
[000:49:31;06] IT'S THE FIRST EVER GLOBAL  
[000:49:33;13] GOVERNMENT REQUEST REPORT.  
[000:49:34;15] FACEBOOK CLAIMS THAT 74  
[000:49:36;07] DIFFERENT COUNTRIES HAVE  
[000:49:36;29] DEMANDED INFORMATION ON  
[000:49:38;23] SOME 38,000 USERS THIS YEAR  
[000:49:40;15] ALONE.  
[000:49:40;28] COMPANY REPRESENTATIVES SAY  
[000:49:41;27] MORE THAN HALF OF THOSE  
[000:49:43;07] REQUESTS CAME FROM THE  
[000:49:44;18] UNITED STATES.  
[000:49:46;05] THEY SAY FACEBOOK PROVIDED  
[000:49:48;18] ABOUT DATA IN SOME 79% OF  
[000:49:50;12] THOSE CASES.  
[000:49:51;20] THE U.S. MEMBERS ARE JUST  
[000:49:53;01] RANGES THOUGH.  
[000:49:53;21] THE FEDS DON'T ALLOW THEM  
[000:49:55;19] TO REVEAL EXACT NUMBERS.  
[000:49:57;21] FACEBOOK FLAMES WHEN IT'S  
[000:49:58;19] REQUIRED TO GIVE THE  
[000:50:00;01] INFORMATION IT OFTEN SHARES  
[000:50:01;23] ONLY THE BASICS.  
[000:50:04;00] YOU WILL NEED A LARGE BODLE  
[000:50:06;07] OF ADVIL.  
[000:50:07;01] THAT'S THE ADVICE OUTGOING  
[000:50:11;02] HOMELAND SECURITY SECRETARY  
[000:50:12;15] JANET NAPOLITANO GAVE TO  
[000:50:13;07] HER STILL UNNAMED SUCCESSOR  
[000:50:15;14] DURING HER FAREWELL SPEECH  
[000:50:18;04] TODAY.  
[000:50:18;17] SECRETARY NAPOLITANO GAVE  
[000:50:19;10] THAT SPEECH AT THE NATIONAL  
[000:50:20;04] PRESS CLUB IN WASHINGTON.  
[000:50:20;27] SHE WILL STEP ASIDE NEXT  
[000:50:22;08] FRIDAY IN ABOUT A WEEK'S  
[000:50:23;09] TIME TO TAKE OVER  
[000:50:26;12] UNIVERSITY OF CALIFORNIA  
[000:50:27;20] SYSTEM.  
[000:50:28;04] HER ACTING DEPUTY SECRETARY  
[000:50:29;03] IS SAID TO TAKE OVER UNTIL  
[000:50:31;17] THE SENATE CONFIRMS A  
[000:50:32;16] PERMANENT REPLACEMENT FOR  
[000:50:33;10] THAT JOB.  
[000:50:34;14] CATHERINE HERRIDGE KNOWS  
[000:50:35;10] THIS STORY ALL TOO WELL.  
[000:50:36;28] SHE HAS TRACKED HER EVERY  
[000:50:38;29] MOVE.  
[000:50:39;12] WHAT ELSE HAS HAD SHE HAD  
[000:50:41;16] SAY CATHERINE.  
[000:50:42;06] >> WITHOUT TAKING QUESTIONS  
[000:50:44;09] TODAY JANET NAPOLITANO  
[000:50:45;00] TELLING REPORTERS THE  
[000:50:45;21] EXPERIENCE TAUGHT HER ONE  
[000:50:46;18] THING.  
[000:50:47;14] >> LOOKING BACK OVER THE  
[000:50:49;01] PAST FOUR AND A HALF YEARS.  
[000:50:50;07] I CAN SAY THAT IF THERE IS  
[000:50:52;13] ONE TAKE AWAY, ONE OBJECT  
[000:50:56;27] LESSON AND CORE OPERATING  
[000:50:58;14] PRINCIPLE THAT I HAVE  
[000:50:59;05] LEARNED AND EMBRACED AS  
[000:51:00;16] SECRETARY, IT'S THIS:  IN A  
[000:51:02;20] WORLD OF EVOLVING THREATS  
[000:51:04;22] THE KEY TO OUR SUCCESS IS  
[000:51:06;03] THE ABILITY TO BE FLEXIBLE  
[000:51:08;05] AND A JILL.  
[000:51:11;06] ADD AGILE.  
[000:51:16;19] SHE MADE ROLE CENTRAL  
[000:51:19;15] FOCUS.  
[000:51:19;28] IMMEDIATE RESPONSE TO  
[000:51:20;19] HURRICANE SANDY ON THE  
[000:51:21;10] GROUND WITHIN HOURS.  
[000:51:23;16] WON PRAISE FROM EVEN HER  
[000:51:25;13] CRITICS, PHIL.  
[000:51:26;00] >> WHAT ABOUT THOSE  
[000:51:27;07] CRITICS, WHAT DO THEY SAY.  
[000:51:28;04] >> THEY SAY KNAP FOLLOWED  
[000:51:30;11] THE ADMINISTRATION'S LEAD  
[000:51:31;21] BY TRYING TO MINIMIZE THE  
[000:51:33;27] THREAT REFERRING TO  
[000:51:35;04] TERRORIST ATTACKS AS MAN  
[000:51:36;12] CAUSED DISASTERS WHEN SHE  
[000:51:37;10] TOOK THE JOB IN 2009.  
[000:51:39;03] ON KNAP'S WATCH TWO MAJOR  
[000:51:41;18] TERRORIST STRIKES INCLUDING  
[000:51:42;13] THE BOSTON MARATHON BOMBING  
[000:51:43;13] THREE WERE KILLED AND 260  
[000:51:46;01] INJURED AS WELL AS TWO NEAR  
[000:51:47;09] MISSES INCLUDING THIS  
[000:51:48;12] ATTEMPTED CAR BOMBING OF  
[000:51:49;13] TIMES SQUARE WHERE THE  
[000:51:51;07] DETONATOR FAILED TO IGNITE.  
[000:51:52;13] FORMER CHAIRMAN OF THE  
[000:51:53;06] HOUSE HOMELAND SECURITY  
[000:51:54;18] COMMITTEE TELLING FOX  
[000:51:55;17] RECENTLY THAT KNAP WAS  
[000:51:56;25] UNDER USED.  
[000:51:57;24] >> UNDER THE BUSH  
[000:51:59;15] ADMINISTRATION, WHETHER IT  
[000:52:00;13] WAS SECRETARY RIDGE ARE  
[000:52:02;04] SECRETARY CHERTOFF THE  
[000:52:03;17] BUSH ADMINISTRATION I  
[000:52:05;16] THOUGHT HAD MUCH MORE AT  
[000:52:06;22] THE CENTER OF COUNTER  
[000:52:07;23] TERRORISM ANNOUNCEMENTS AND  
[000:52:09;16] ALSO AS FAR AS  
[000:52:10;19] INVESTIGATIONS WHILE UNDER  
[000:52:11;12] THIS ADMINISTRATION, SEEMED  
[000:52:14;05] TO DEFER BECOME ENTIRELY ON  
[000:52:17;06] THE WHITE HOUSE.  
[000:52:18;01] >> AND STILL NO NOMINEE HAS  
[000:52:19;19] BEEN PUBLICLY IDENTIFIED BY  
[000:52:20;29] THE WHITE HOUSE, BILL.  
[000:52:22;20] >> Bill: THE DEBATE SHALL  
[000:52:24;06] BEGIN.  
[000:52:24;19] CATHERINE THANK YOU.  
[000:52:25;14] CATHERINE HERRIDGE IN  
[000:52:27;08] WASHINGTON.  
[000:52:27;24] ARSON INVESTIGATORS ARE  
[000:52:28;16] LOOKING INTO A FIRE THAT  
[000:52:30;05] DISPLACED DOZENS OF PEOPLE  
[000:52:31;08] FROM THEIR HOMES.  
[000:52:32;08] THAT'S OUR TOP STORY IN A  
[000:52:33;18] FOX TRIP TONIGHT ACROSS  
[000:52:34;22] AMERICA.  
[000:52:36;29] NEW JERSEY.  
[000:52:38;10] OFFICIALS SAY IT APPEARS  
[000:52:39;15] THE FLAMES BROKE OUT IN AN  
[000:52:41;11] ABANDONED ROW HOUSE UNIT IN  
[000:52:43;04] NEWARK.  
[000:52:43;18] THEN QUICKLY SPREAD TO  
[000:52:44;26] THREE OCCUPIED HOMES NEXT  
[000:52:46;04] DOOR.  
[000:52:47;07] SOME 30 PEOPLE HAD TO  
[000:52:48;28] EVACUATE.  
[000:52:49;13] NOBODY HURT.  
[000:52:50;00] THE RED CROSS IS HELPING  
[000:52:50;29] THE VICTIMS.  
[000:52:53;06] NEW YORK.  
[000:52:54;25] RESCUERS SAVED A WORKER  
[000:52:56;01] TRAPPED INSIDE A NARROW  
[000:52:58;03] TRENCH IN THE SHEEPS HEAD  
[000:52:59;26] BAY NEIGHBORHOOD IN  
[000:53:00;27] BROOKLYN.  
[000:53:01;12] OFFICIALS SAY THE GUY FELL  
[000:53:02;17] INTO THE 8-FOOT DEEP HOLE  
[000:53:04;24] BEHIND A HOME THAT IS UNDER  
[000:53:07;14] CONSTRUCTION.  
[000:53:08;01] ACCORDING TO WITNESSES  
[000:53:08;27] DEBRIS BURIED THE MAN UP TO  
[000:53:10;13] HIS CHEST FOR 20 MINUTES  
[000:53:11;28] UNTIL HELP ARRIVED.  
[000:53:13;21] CREWS SAY HE WAS CONSCIENCE  
[000:53:15;23] THE ENTIRE TIME.  
[000:53:16;16] THEY RUSHED HIM TO THE  
[000:53:18;21] HOSPITAL.  
[000:53:19;06] AT LAST CHECK HE WAS IN  
[000:53:20;11] SERIOUS BUT STABLE  
[000:53:21;09] CONDITION.  
[000:53:23;06] ARIZONA.  
[000:53:24;21] A HUGE WALL OF DUST  
[000:53:26;10] REPORTEDLY DOWNED POWER  
[000:53:27;14] LINES AND TOPPLED TREES AS  
[000:53:29;17] IT SWEPT THROUGH THE  
[000:53:30;25] PHOENIX METROPOLITAN AREA.  
[000:53:31;24] YOU CAN SEE THE DUST STORM  
[000:53:35;02] CLOUDED STREETS AND CUT  
[000:53:36;00] DOWN VISIBILITY.  
[000:53:36;18] NO WORD OF ANYBODY HURT.  
[000:53:38;08] OFFICIALS SAY ARIZONA'S  
[000:53:40;08] MONSOON SEASON TYPICALLY  
[000:53:41;19] BRINGS HEAVY WINDS AND  
[000:53:42;21] RAINS WHICH IN RECENT YEARS  
[000:53:43;25] HAVE TRIGGERED THESE  
[000:53:45;05] MASSIVE DUST STORMS.  
[000:53:47;00] KNOWN AS HA BOOBS.  
[000:53:51;15] MAN SUNNI SEASON RUNS FROM  
[000:53:52;19] MID JUNE TO SEPTEMBER.  
[000:53:53;26] THAT'S A FOX WATCH ACROSS  
[000:53:55;17] AMERICA.
[000:53:59;13] WELL, THE RESULTS ARE IN  
[000:54:00;18] AND WE NOW KNOW WHO IS THIS  
[000:54:02;09] YEAR'S HIGHEST PAID  
[000:54:04;16] CELEBRITY.  
[000:54:05;08] AND IT IS NOT THESE GUYS.  
[000:54:07;09] WHO IS IT?  
[000:54:08;15] NUMBER ONE IS ON DECK NEXT.
[000:54:12;13] I KNEW TESTOSTERONE  COULD AFFECT
[000:54:13;01] SEX DRIVE  BUT NOT ENERGY  OR EVEN
[000:54:15;22] MY MOOD.  THAT'S WHEN I TALKED  WITH
[000:54:17;22] MY DOCTOR.  HE GAVE ME SOME BLOOD
[000:54:19;03] TESTS...  SHOWED IT WAS LOW T.  THAT'S
[000:54:21;25] IT. IT WAS A NUMBER.    [ Male Announcer
[000:54:23;12] ]    TODAY, MEN WITH LOW T    HAVE
[000:54:24;19] ANDROGEL    1.62% TESTOSTERONE GEL.
[000:54:28;06] THE #1 PRESCRIBED    TOPICAL TESTOSTERONE
[000:54:29;13] REPLACEMENT THERAPY    INCREASES TESTOSTERONE
[000:54:31;22] WHEN USED DAILY.    WOMEN AND CHILDREN
[000:54:33;08] SHOULD AVOID    CONTACT WITH APPLICATION
[000:54:34;00] SITES.    DISCONTINUANDROGEL    AND
[000:54:36;28] CALL YOUR DOCTOR    IF YOU SEE UNEXPECTED
[000:54:38;11] SIGNS    OF EARLY PUBERTY IN A CHILD,
[000:54:41;21] OR SIGNS IN A WOMAN,    WHICH MAY
[000:54:42;18] INCLUDE    CHANGES IN BODY HAIR  
[000:54:44;00] OR A LARGE INCREASE IN ACNE    POSSIBLY
[000:54:45;26] DUE    TO ACCIDENTAL EXPOSURE.   
[000:54:47;21] MEN WITH BREAST CANCER    OR WHO HAVE
[000:54:48;21] OR MIGHT HAVE    PROSTATE CANCER,
[000:54:49;20] AND WOMEN WHO ARE OR MAY BECOME  
[000:54:50;10] PREGNANT OR ARE BREAST-FEEDING   
[000:54:53;16] SHOULD NOT USE ANDROGEL.    SERIOUS
[000:54:55;02] SIDE EFFECTS INCLUDE    WORSENING
[000:54:56;04] OF AN ENLARGED PROSTATE,    POSSIBLE
[000:54:57;00] INCREASED RIS    OF PROSTATE CANCER
[000:54:58;26] LOWER SPERM COUNT, SWELLING    OF
[000:54:59;17] ANKLES, FEET, OR BODY    ENLARGED
[000:55:02;15] OR PAINFUL BREASTS,  PROBLEMS BREATHING
[000:55:04;00] DURING SLEEP    AND BLOOD CLOTS IN
[000:55:05;23] THE LEGS.    TELL YOUR DOCTOR    ABOUT
[000:55:07;03] YOUR MEDICAL CONDITION    AND MEDICATIONS
[000:55:08;25] ESPECIALLY IULIN    CORTICOSTEROIDS,
[000:55:10;09] OR MEDICINES    TO DECREASE BLOOD
[000:55:11;01] CLOTTING.    IN A CLINICAL STUDY,
[000:55:13;27] OVER 80%    OF TREATED MEN HAD THEIR
[000:55:15;10] T LEVELS RESTORED TO NORMAL.    TALK
[000:55:17;20] TO YOUR DOCTOR    ABOUT ALL YOUR SYMPTOMS.
[000:55:19;16] GET THE BLOOD TESTS.    CHANGE YOUR
[000:55:20;07] NUMBER. TURN IT UP.    ANDROGEL 1.62%.
[000:55:41;13] YOU HAVE TIME TO SHOP  FOR CAR INSURANCE
[000:55:42;07] TODAY?  YEAH.
[000:55:43;14] I HEARD ABOUT PROGRESSIVE'S  "NAME
[000:55:44;07] YOUR PRICE" TOOL?
[000:55:45;05] I GUESS YOU CAN TELL THEM  HOW MUCH
[000:55:45;26] YOU WANT TO PAY
[000:55:47;25] AND IT GIVES YOU A RANGE OF  OPTIONS
[000:55:48;19] TO CHOOSE FROM.
[000:55:50;21] HUH? I'M LOOKING  AT IT RIGHT NOW.
[000:55:54;29] OH, YEAH?
[000:55:56;24] YEAH.
[000:56:00;22] WHAT'S THE...  GUEST ROOM SITUATION?
[000:56:05;20] THE "NAME YOUR PRICE" TOOL
[000:56:07;00] MAKING THE WORLD    A LITTLE MORE
[000:56:07;23] PROGRESSIVE.
[000:57:21;20] >> Bill: THAT DONE THAN  
[000:57:23;14] RANKING LIST FOR 2013.  
[000:57:24;05] LIST OUT TODAY.  
[000:57:24;23] HER MOST RECENT TOUR  
[000:57:25;13] GROSSED A $335 MILLION.  
[000:57:26;14] EARNING HER A TOP TOURING  
[000:57:27;29] AWARD AT THIS YEAR'S  
[000:57:29;08] BILLBOARD MUSIC AWARDS.  
[000:57:30;09] SHE IS 55 AND SHE IS STILL  
[000:57:32;14] KILLING IT DIRECTOR STEPHAN  
[000:57:34;13] SPIELBERG SECOND ON THE  
[000:57:36;05] LIST EARNING $100 MILLION.  
[000:57:38;00] TIED FOR THIRD "FIFTY  
[000:57:40;14] SHADES OF GREY" AUTHOR  
[000:57:44;21] JAMES.  
[000:57:45;13] SIMON COWELL AND HOWARD  
[000:57:47;23] STERN SETTLED FOR  
[000:57:48;29] $55 MILLION THIS YEAR.  
[000:57:49;20] ON THIS DAY IN 1883 THE  
[000:57:53;01] MOST VOLCANIC IN HISTORY  
[000:57:55;11] SPARKED A CHAIN OF NATURAL  
[000:57:57;03] DISASTERS AROUND THE WORLD  
[000:57:58;14] IT HAPPENED IN WESTERN  
[000:58:00;27] INDONESIA.  
[000:58:01;12] MONTHS EARLIER PASSENGERS  
[000:58:02;05] ON A GERMAN WARSHIP HAD  
[000:58:04;07] REPORTED A MASSIVE BLUME OF  
[000:58:05;21] ASH COMING FROM THE  
[000:58:07;02] VOLCANO'S CREATOR.  
[000:58:07;22] THOSE EXPLOSIONS BECAME  
[000:58:09;04] ROUTINE IN LATE AUGUST OF  
[000:58:10;06] THAT YEAR, A MAJOR BLAST  
[000:58:11;24] BLEW MOST OF THE ISLAND  
[000:58:12;28] INTO THE SEA TRIGGERS  
[000:58:14;16] DEADLY TSUNAMIS.  
[000:58:16;05] A SERIES OF EVEN MORE  
[000:58:17;22] INTENSE ERUPTIONS FOLLOWED  
[000:58:19;04] THE NEXT DAY.  
[000:58:19;29] PEOPLE HEARD THE BLAST SOME  
[000:58:21;16] 3,000 MILES AWAY.  
[000:58:22;09] AND FLOWS OF MOLTEN LAVA  
[000:58:26;20] BURIED ISLANDS.  
[000:58:27;08] THE ASH SHOT 50 MILES INTO  
[000:58:28;15] THE AIR IT WAS SO THICK IT  
[000:58:30;04] BLOCKED OUT THE SUN AND  
[000:58:31;25] LOWERED THE TEMPERATURES  
[000:58:32;17] AROUND THE WORLD.  
[000:58:34;28] IT REMAINS ACTIVE TO THIS  
[000:58:36;29] DAY BUT ITS CRATER LET OUT  
[000:58:40;24] A MASSIVE BLAST 130 YEARS  
[000:58:42;09] AGO TODAY.  
[000:58:42;24] THAT DOES IT FOR THIS FOX  
[000:58:44;00] REPORT ON THIS TUESDAY  
[000:58:46;07] AUGUST 27TH, 2000 13.  
[000:58:46;29] I'M BILL HEMMER IN TONIGHT  
[000:58:48;05] FOR SHEPARD SMITH.  
[000:58:49;05] SEE YOU TOMORROW MORNING ON  
[000:58:51;12] AMERICA'S NEWSROOM 9:00  
[000:58:52;23] A.M. EASTERN TIME.  
[000:58:54;01] HERE NOW THE OTHER BILL.
[000:58:59;25] >> Bill: THE O'REILLY  
[000:59:00;16] FACTOR IS ON.  
[000:59:01;10] TONIGHT:  
[000:59:03;06] >> THERE WOULD BE ENORMOUS  
[000:59:05;20] CONSEQUENCES IF WE START  
[000:59:06;24] SEEING MOVEMENT ON THE  
[000:59:08;07] CHEMICAL SWEPS FRONT.  
[000:59:09;19] >> Bill: NOW THE PRESIDENT  
[000:59:10;15] MUST ACT ON THAT THREAT.  
[000:59:11;20] BUT WHAT SHOULD HE DO?  
[000:59:13;09] I WILL ANALYZE WITH RALPH  
[000:59:16;25] PETERS, DAVID HUNT AND  
[000:59:18;01] CHARLES KRAUTHAMMER.  
[000:59:19;02] >> VOTER I.D.  
[000:59:20;15] WHY WOULD WE WANT TO GET  
[000:59:22;24] OBAMA DO WE NEED SOME  
[000:59:24;05] SPECIAL I.D.?  
[000:59:25;16] >> Bill: WHY IS IT THE  
[000:59:26;22] CIVIL RIGHTS INDUSTRY  
[000:59:28;00] TALKING ABOUT  
[000:59:29;16] BLACK-ON-BLACK CRIME.  
[000:59:30;07] WE WILL TELL YOU YOU  
[000:59:34;22] TONIGHT.  
[000:59:36;08] I TOO WANT TO TELL EVERYONE  
[000:59:37;09] THAT I'M SORRY THAT THIS  
[000:59:39;23] HAPPENED.  
[000:59:40;08] >> Bill: GEORGE ZIMMERMAN  
[000:59:41;01] WANTS THE STATE OF FLORIDA  
[000:59:41;24] TO PAY SOME OF HIS LEGAL  
