[000:00:00;650] TRUMP.
[000:51:06;213] POLICE OFFICER THAT WAS OFF DUTY
[000:51:08;248] OUT ENJOYING THE MUSIC SUNDAY
[000:51:10;283] NIGHT, HE PASSED AWAY AS WELL
[000:51:13;987] AND A VIGIL SUNDAY NIGHT.
[000:51:16;223] BACK TO YOU.
[000:51:16;790] >> Shepard: THANKS.
[000:51:17;390] THE GOVERNOR IS INTRODUCING THE
[000:51:18;925] PRESIDENT.
[000:51:19;326] LET'S LISTEN IN.
[000:51:19;860] >> THE FIRST RESPONDERS AND HOW
[000:51:22;729] THEY REACTED TO THIS SITUATION
[000:51:24;631] PROVIDED SO MANY LOVE AND CARE
[000:51:26;600] FOR THE PEOPLE THAT WERE HARMED
[000:51:28;535] BY THIS HORRIBLE INCIDENT.
[000:51:31;571] THE MEDICAL COMMUNITY, THOSE
[000:51:33;907] THAT CAME TO THE AID OF THESE
[000:51:35;776] PEOPLE.
[000:51:36;409] THE EMPLOYEES AT MGM RESORTS AND
[000:51:38;411] HOW THEY RESPONDED AS WELL.
[000:51:40;947] AND EVERYONE ELSE, PERFECT
[000:51:43;216] STRANGERS AND HOW THEY RESPONDED
[000:51:45;018] TO THIS AND GAVE LOVE AND
[000:51:48;688] ASSISTANCE TO THEIR FELLOW MAN.
[000:51:49;689] I ALSO WANT TO THANK THE PEOPLE
[000:51:51;124] FROM ACROSS THE COUNTRY AND
[000:51:53;093] ACROSS THE WORLD FOR THEIR
[000:51:55;996] OUTPOURING OF SUPPORT AND
[000:51:57;531] GENEROSITY THAT HAS COME HERE.
[000:51:58;965] IT'S UNPRECEDENTED IN OUR
[000:52:01;568] HISTORY.
[000:52:01;902] MAKES US FEEL LIKE WE'RE NOT
[000:52:05;071] ALONE AND GIVES US STRENGTH.
[000:52:06;540] BRIEFLY I ATTENDED A CANDLELIGHT
[000:52:09;242] VIGIL LAST NIGHT AT THE
[000:52:10;477] UNIVERSITY OF NEVADA.
[000:52:13;914] IT WAS AN IMPROMPTU EVENT.
[000:52:15;816] OVER 1,500 PEOPLE SHOWED UP ON
[000:52:18;118] SHORT NOTICE.
[000:52:22;689] WE ALL HELD CANDLES, WE ALL
[000:52:23;423] HUGGED ONE ANOTHER.
[000:52:23;990] WE HELD HANDS.
[000:52:24;724] WE HELD THOSE FLAMES OUT IN
[000:52:25;892] FRONT OF US TO SHOW TRIBUTE TO
[000:52:28;128] THE VICTIMS AND THEIR FAMILIES
[000:52:32;299] OF THIS HORRIBLE EVENT.
[000:52:34;568] AND TO -- AT THAT MOMENT,
[000:52:39;773] DESPITE HOW DARK AND COLD IT WAS
[000:52:42;909] I SAW AND WE ALL SAW THE
[000:52:44;811] GREATEST DARKNESS CAN'T PUT OUT
[000:52:46;479] THE SMALLEST LIGHT.
[000:52:48;081] WE COLLECTIVELY FELT FOR THE
[000:52:55;222] FIRST TIME THE FIRST PANES OF
[000:52:55;989] HOPE.
[000:52:56;289] WE SAW DESPITE THE SADNESS AND
[000:52:57;023] GRIEF AROUND US THAT WE'RE
[000:52:58;458] RESILIENT AND THAT WE'RE
[000:53:00;227] COMMITTED TO FIGHT AND RECOVER
[000:53:01;094] AND BEGIN THE LONG PROCESS OF
[000:53:03;864] HEALING.
[000:53:04;331] WE HAVE A LONG HISTORY OF
[000:53:07;500] PULLING TOGETHER.
[000:53:08;902] YES, WE'RE HURT, WE'RE HURT
[000:53:12;372] BADLY, BUT WE'RE NOT BROKEN.
[000:53:14;608] AS I SAID, WE'VE SEEN GENEROSITY
[000:53:16;276] ON A SCALE THAT IS UNPRECEDENTED
[000:53:19;479] IN NEVADA HISTORY.
[000:53:20;714] WE KNOW THAT WE WILL NEVER EVER
[000:53:22;849] FORGET THIS HORRIFIC EVENT.
[000:53:27;587] WE WILL MARCH FORWARD AS A
[000:53:28;288] FAMILY, GIVING EACH OTHER
[000:53:30;590] COMFORT, SUPPORT AND LOVE.
[000:53:33;059] FUTURE WILL COME ONE DAY AT A
[000:53:36;529] TIME.
[000:53:36;830] WE ALL HAVE A CHOICE HOW WE'RE
[000:53:40;033] GOING TO LIVE EACH DAY.
[000:53:42;702] WE MUST BE GLAD, WE MUST BE
[000:53:46;339] GOOD, WE MUST BE BRAVE.
[000:53:48;575] WE MUST HAVE FAITH.
[000:53:50;310] WE WILL EMERGE AS A STRONGER,
[000:53:54;814] KINDER, BETTER STATE AND NATION.
[000:54:00;387] GOD BLESS THE VICTIMS AND THEIR
[000:54:02;455] FAMILIES.
[000:54:02;822] MAY THEY GIVE THEM PEACE, GOD
[000:54:06;326] BLESS OUR STATE AND THE NATION,
[000:54:08;828] THE GREATEST NATION ON EARTH.
[000:54:10;230] WITH THAT, I'M VERY PRIVILEGED
[000:54:12;699] AND HONORED TO INTRODUCE THE
[000:54:14;567] FIRST LADY AND THE PRESIDENT OF
[000:54:17;837] THE UNITED STATES.
[000:54:18;672] I PERSONALLY WANT TO THANK THEM
[000:54:20;307] ON BEHALF OF ALL OF THE PEOPLE
[000:54:23;310] OF NEVADA FOR TAKING THE TIME TO
[000:54:25;278] COME OUT HERE AND PROVIDE US
[000:54:28;348] THEIR SUPPORT AND THEIR COMFORT
[000:54:33;186] AND EVERYTHING ELSE THAT THEY'LL
[000:54:33;987] BRING TO US.
[000:54:34;387] WITH THAT, LADIES AND GENTLEMEN,
[000:54:35;155] I'D LIKE TO INTRODUCE THE
[000:54:35;855] PRESIDENT OF OUR GREAT NATION,
[000:54:38;625] DONALD TRUMP.
[000:54:39;059] THANK YOU.
[000:54:39;426] [APPLAUSE]
[000:54:51;938] >> THANK YOU VERY MUCH,
[000:54:53;673] GOVERNOR.
[000:54:54;040] WE APPRECIATE THAT.
[000:54:55;508] I WILL TELL YOU, THE PEOPLE OF
[000:54:59;145] NEVADA AND THE EXTRAORDINARY
[000:55:04;084] CITY HAVE SHOWN THE WORLD THEIR
[000:55:04;918] INCREDIBLE CHARACTER, COURAGE
[000:55:06;853] AND RESOLVE.
[000:55:08;221] NEVADA IS REALLY A SPECIAL
[000:55:09;656] PLACE.
[000:55:09;990] I'M HONORED TO BE HERE TODAY AT
[000:55:13;994] THE LAS VEGAS METROPOLITAN
[000:55:16;229] POLICE DEPARTMENT AND THE
[000:55:17;797] COMPANY OF HEROS.
[000:55:19;199] THANK YOU TO OUR POLICE, OUR
[000:55:21;935] FIREFIGHTERS AND TO OUR FIRST
[000:55:25;205] RESPONDERS AND OF COURSE TO
[000:55:27;307] SHERIFF LOMBARDO.
[000:55:29;642] INCREDIBLE JOB YOU'VE DONE.
[000:55:32;345] MAYOR GOODMAN.
[000:55:37;350] HELLO, MAYOR.
[000:55:41;254] SENATOR HELLER.
[000:55:42;255] THANK YOU VERY MUCH.
[000:55:45;258] SENATOR CORTEZ, MAJORITY LEADER.
[000:55:49;829] WHERE IS KEVIN.
[000:55:51;398] KEVIN McCARTHY.
[000:55:52;732] ADAM LAXAULT.
[000:55:54;667] ALL OF THE GREAT CONGRESSMAN
[000:55:56;669] WITH US TODAY FROM BOTH PARTIES.
[000:55:59;172] WE JUST ARE VERY HONORED THAT
[000:56:00;740] YOU COULD BE WITH US.
[000:56:01;941] ON BEHALF OF THE GRATEFUL
[000:56:03;810] NATION, MELANIA AND I THANK EACH
[000:56:05;845] AND EVERY ONE OF YOU IN LAW
[000:56:10;683] ENFORCEMENT IN THE DEPTHS OF
[000:56:11;551] HORROR, WE WILL ALWAYS FIND HOPE
[000:56:12;919] IN THE MEN AND WOMEN WHO RISK
[000:56:16;089] THEIR LIVES FOR OURS.
[000:56:18;858] THE MASS MURDER TOOK PLACE
[000:56:20;860] SUNDAY NIGHT FILLS AMERICA'S
[000:56:23;129] HEART WITH GRIEF.
[000:56:26;132] AMERICA IS TRULY A NATION IN
[000:56:30;437] MOURNING.
[000:56:31;471] I VISITED THE HOSPITAL EARLIER
[000:56:33;506] TODAY WHERE MANY VICTIMS ARE
[000:56:36;409] STILL RECOVERS FROM THEIR
[000:56:38;178] WOUNDS.
[000:56:42;515] WE ASK GOD TO EASE THEIR
[000:56:44;384] SUFFERING.
[000:56:44;751] WE PRAY FOR THE RECOVERY OF THE
[000:56:47;754] INJURED AND THOSE INJURED
[000:56:49;823] OFFICERS THAT SO BRAVELY THROUGH
[000:56:51;257] THEMSELVES INTO DANGER WHEN DUTY
[000:56:54;260] CALLED.
[000:56:54;594] AND WE GRIEVE THE LOSS OF THE
[000:56:57;530] LAW ENFORCEMENT PERSONNEL WHO
[000:57:01;401] WERE KILLED IN THIS VICIOUS
[000:57:04;304] ATTACK.
[000:57:04;637] MANY FAMILIES TONIGHT WILL GO TO
[000:57:06;473] BED IN A WORLD THAT IS SUDDENLY
[000:57:10;777] EMPTY, THE PEOPLE THEY SO DEARLY
[000:57:15;582] LOVE WERE TORN AWAY FROM THEM
[000:57:18;151] FOREVER.
[000:57:18;885] OUR SOULS ARE STRIKEN WITH GRIEF
[000:57:21;554] FOR EVERY AMERICAN WHO LOST A
[000:57:23;323] HUSBAND OR A WIFE, A MOTHER OR A
[000:57:26;126] FATHER, A SON OR A DAUGHTER.
[000:57:28;461] WE KNOW THAT YOUR SORRY FEELS
[000:57:31;431] ENDLESS.
[000:57:31;764] WE STAND TOGETHER TO HELP YOU
[000:57:34;667] CARRY YOUR PAIN.
[000:57:36;136] YOU'RE NOT ALONE.
[000:57:38;671] WE WILL NEVER LEAVE YOUR SIDE.
[000:57:42;642] HERE AT THE POLICE DEPARTMENT,
[000:57:48;581] WE REMEMBER ONE OF OUR OWN WHO
[000:57:49;349] DIED THIS WEEK, CHARLES
[000:57:52;051] HARTFIELD.
[000:57:52;418] HE WAS A VERY, VERY SPECIAL
[000:57:55;288] PERSON.
[000:57:55;822] OFFICER HARTFIELD WAS A PROUD
[000:57:58;825] VETERAN, A DEVOTED HUSBAND, A
[000:58:01;828] LOVING FATHER.
[000:58:03;696] HIS DEATH IS A TRAGIC LOSS FOR
[000:58:05;932] THIS POLICE FORCE, FOR THIS CITY
[000:58:09;502] AND FOR OUR GREAT NATION.
[000:58:10;870] WE STRUGGLE FOR THE WORDS TO
[000:58:12;605] EXPLAIN TO OUR CHILDREN HOW SUCH
[000:58:15;508] EVIL CAN EXIST, HOW THERE CAN BE
[000:58:20;914] SUCH CRUELTY AND SUCH SUFFERING.
[000:58:21;848] WE CANNOT BE DEFINED BY THE EVIL
[000:58:24;083] THAT THREATENINGS US OR THE
[000:58:26;252] VIOLENCE THAT INCITES SUCH
[000:58:29;455] TERROR.
[000:58:29;856] WE'RE DEFINED BY THE LOVE, OUR
[000:58:32;825] CARING AND OUR COURAGE.
[000:58:35;461] IN THE DARKEST MOMENTS, WHAT
[000:58:38;198] SHINES MOST BRIGHTLY IS THE
[000:58:41;000] GOODNESS THAT THRIVES IN THE
[000:58:43;469] HEARTS OF OUR PEOPLE.
[000:58:44;971] THAT GOODNESS IS OUR LIGHT HOUSE
[000:58:48;174] AND OUR SOLACE.
[000:58:53;046] IS KNOWLEDGE.
[000:58:53;513] THAT THE SOULS OF THOSE THAT
[000:58:54;247] PASSED ARE NOW AT PEACE IN
[000:58:57;584] HEAVEN.
[000:58:57;917] HERE ON EARTH, WE'RE BLESSED TO
[000:58:59;686] BE SURROUNDED BY HEROS.
[000:59:03;556] AS ONE EYE WITNESS RECOUNTED
[000:59:05;291] THIS WEEK, WHILE EVERYONE ELSE
[000:59:08;161] WAS CROUCHING, POLICE OFFICERS
[000:59:09;696] WERE STANDING UP AS TARGETS JUST
[000:59:12;699] TRYING TO DISTRICT PEOPLE AND
[000:59:14;601] TELL THEM WHERE TO GO.
[000:59:16;169] THE OFFICERS WERE STANDING UP IN
[000:59:19;405] THE LINE OF FIRE TO HELP THOSE
[000:59:24;877] IN DANGER AND TO FIND OUT WHERE
[000:59:25;678] THOSE HORRIBLE SHOTS WERE COMING
[000:59:28;047] FROM.
[000:59:28;348] WORDS CANNOT DESCRIBE THE
[000:59:31;451] BRAVERY THAT THE WHOLE WORLD
[000:59:33;853] WITNESSED ON SUNDAY NIGHT.
[000:59:37;724] AMERICANS DENIED DEATH AND
[000:59:40;994] HATRED WITH LOVE AND WITH
[000:59:44;731] COURAGE.
[000:59:46;132] WHEN THE WORD AND WORST OF
[001:00:17;964] HUMANITY STRIKES, THE BEST OF
[001:00:18;731] HUMANITY RESPONDS.
[001:00:19;265] PARENTS AND SPOUSES USED THEIR
[001:00:19;999] OWN BODIES AS SHIELDS TO PROTECT
[001:00:20;733] LOVES ONES.
[001:00:21;134] AMERICANS DASHED INTO A HAIL OF
[001:00:21;868] BULLETS TO RESCUE TOTAL
[001:00:22;468] STRANGERS.
[001:00:22;835] JOINING US TODAY ARE MANY OF THE
[001:00:23;569] HEROS THAT WERE HERE DURING THAT
[001:00:24;304] HORRIBLE MOMENT, THAT HORRIBLE
[001:00:25;038] NIGHT.
[001:00:25;338] INCLUDING LAS VEGAS METROPOLITAN
[001:00:28;641] POLICE OFFICE
[001:00:31;644] POLICE OFFICERS.
[001:00:32;178] OFFICER PETERSON WAS ON HIS
[001:00:33;513] SECOND DAY ON THE JOB WHEN THE
[001:00:36;783] SHOOTING BEGAN.
[001:00:38;785] I JUST VISITED HIM IN THE
[001:00:42;221] HOSPITAL.
[001:00:42;689] WITHIN MINUTES, HE JOINED A
[001:00:44;290] GROUP OF OFFICERS RUSHING
[001:00:46;359] BETWEEN FLYING BULLETS TO CLEAR
[001:00:49;662] THE FAIR GROUNDS AND SAVE LIVES.
[001:00:53;166] OFFICER GURLET WAS OFF DUTY
[001:00:56;669] ATTENDING THE CONCERT.
[001:00:58;137] ALL THOSE S
