[000:00:00;15] THOSE  
[000:38:51;00] LAST POSSIBILITY ARE  
[000:38:51;29] PROBABLY PRETTY SLIM AND IT  
[000:38:54;11] PROBABLY ONE OF TWO FLAVORS  
[000:38:55;26] OF DOMESTIC ATTACK.  
[000:38:58;27] PURELY DOMESTIC SUCH AS THE  
[000:39:02;04] OLYMPICS IN 1996 OR EVEN  
[000:39:04;01] OKLAHOMA CITY IN 1995.  
[000:39:05;26] OR DOMESTIC WITH AN  
[000:39:09;12] INTERNATIONAL COMPONENT IE  
[000:39:12;02] SOMEBODY WHO IS BORN HERE  
[000:39:13;06] AND LIVED HERE AND  
[000:39:16;02] RADICALIZED ABROAD.  
[000:39:17;07] >> Shepard: LEE, I WONDER  
[000:39:18;08] IF IT'S POSSIBLE TO HAVE  
[000:39:19;08] SOME NUT JOB WHO JUST  
[000:39:20;07] WANTED TO CAUSE A BIG SHOW?  
[000:39:25;28] I DON'T THINK WE HAVE ANY  
[000:39:26;23] CLARITY IN THIS MATTER.  
[000:39:27;21] >> ABSOLUTELY.  
[000:39:29;24] ANOTHER MATTER TO POINT OUT  
[000:39:30;19] IT'S A LOCAL HOLIDAY IN  
[000:39:33;07] MASSACHUSETTS AND CERTAIN  
[000:39:34;00] PARTS OF NEW ENGLAND  
[000:39:35;05] PATRIOTS DAY.  
[000:39:35;29] THAT HOLIDAY COMMON RATES  
[000:39:37;21] THE BATTLES OF LEXINGTON  
[000:39:39;05] AND CONQUERORS FIRST  
[000:39:42;14] REVOLUTIONARY WAR 1775.  
[000:39:43;18] IT'S POSSIBLE, ALTHOUGH  
[000:39:44;23] THIS IS OBVIOUSLY  
[000:39:45;23] SPECULATION THAT IT IS --  
[000:39:56;00] HARD TO KNOW BUT IT IS  
[000:39:57;26] THAT -- IT DOES HAVE  
[000:39:59;15] SIGNIFICANCE IN THE REGION  
[000:40:00;08] IN BOSTON.  
[000:40:04;19] >> Shepard: REALLY, WHEN WE  
[000:40:05;13] WENT THROUGH THE TRIAL, I  
[000:40:06;11] COVERED THE OKLAHOMA CITY  
[000:40:07;06] BOMBING AND THEN THE TRIAL  
[000:40:08;23] OF TIMOTHY MCVEIGH WHICH  
[000:40:09;26] FOLLOWED, AND THERE IS NO  
[000:40:12;18] QUESTION THAT THE REASON  
[000:40:13;23] THAT THAT HAPPENED AT THAT  
[000:40:14;24] TIME HAD SOMETHING TO DO  
[000:40:16;17] WITH THE ATTACKS AT WACO  
[000:40:18;07] AND BEYOND.  
[000:40:18;27] TO SUGGEST THAT WE ARE  
[000:40:19;25] TALKING ABOUT THIS DATE, IT  
[000:40:22;09] IS JUST IN A VACUUM WITHOUT  
[000:40:25;02] HISTORICAL CONTEXT IS  
[000:40:25;23] REALLY TO MISS THE FACTS  
[000:40:27;01] HERE.  
[000:40:27;14] IN THE PAST THAT HAS  
[000:40:28;07] HAPPENED.  
[000:40:28;22] IT'S NOT TO SAY IT HAS  
[000:40:30;00] HAPPENED AT THIS TIME BUT  
[000:40:30;23] IN THE PAST IT HAS.  
[000:40:33;12] >> THAT'S CORRECT.  
[000:40:35;18] OBVIOUSLY THE TARGET, THE  
[000:40:36;25] BOSTON MARATHON IS A  
[000:40:38;03] SIGNIFICANT EVENT FOR  
[000:40:38;24] BOSTON AND IT IS AN  
[000:40:41;20] INTERNATIONAL EVENT IN THE  
[000:40:42;13] SENSE THAT IT DRAWS  
[000:40:43;29] INTERNATIONAL COMPETITORS  
[000:40:44;22] AND VERY IMPORTANT RACE.  
[000:40:45;27] BUT IT IS NOT A TARGET OF  
[000:40:49;04] NATIONAL OR INTERNATIONAL  
[000:40:50;22] SIGNIFICANCE SUCH AS A --  
[000:40:52;08] THE WORLD TRADE CENTER OR  
[000:40:53;22] EVEN THE OLYMPIC GAMES.  
[000:40:57;01] >> Shepard: RIGHT.  
[000:40:57;20] IF I MIGHT GO ONE FARTHER  
[000:40:59;20] I'M NOT SUGGESTING THIS IS  
[000:41:00;19] THE REASON FOR ANYTHING.  
[000:41:01;25] ONE REASON WE KNOW ABOUT  
[000:41:02;28] THE BOSTON MARATHON IS  
[000:41:04;07] THERE WILL BE CAMERAS  
[000:41:05;19] EVERYWHERE.  
[000:41:06;05] ONE THING WE KNOW ABOUT  
[000:41:07;10] NEWS EVENTS IS TO MAKE THEM  
[000:41:08;20] HAVE IMPACT YOU NEED TO  
[000:41:10;02] HAVE VIDEO OF IT HAPPENING.  
[000:41:13;10] AS IT SO HAPPENS OR BY  
[000:41:14;24] DESIGN, ONE OR THE OTHER  
[000:41:15;21] THESE EXPLOSIONS HAPPENED  
[000:41:16;26] AS CAMERAS WERE RUNNING ON  
[000:41:18;25] THE SIDELINES AND AS  
[000:41:20;03] CHOPPERS FLEW IN THE AIR.  
[000:41:21;12] >> RIGHT.  
[000:41:22;15] RIGHT.  
[000:41:23;13] CLEARLY IT WAS A  
[000:41:26;10] WELL-PLANNED ATTACK, AS I  
[000:41:27;10] SAID, MORE LIKELY THAN NOT.  
[000:41:38;22] I WANT TO CONTINUE WITH  
[000:41:39;18] THESE PICTURES.  
[000:41:40;10] BECAUSE IT'S IMPORTANT TO  
[000:41:44;14] REMEMBER.  
[000:41:44;29] IF YOU ARE PLANNING AN  
[000:41:45;20] EVENT OF ANY KIND, YOU HAVE  
[000:41:46;26] SOME SORT OF GOAL IN MIND.  
[000:41:53;01] PLANNING AN EVENT WHICH  
[000:41:54;01] WAS A BOMBING AND YOU WANT  
[000:41:55;24] TO SEE WHAT HAPPENED, THEN  
[000:41:56;25] YOU WOULD DO THAT THEN YOU  
[000:41:59;01] WILL BE POSITIVE THERE WERE  
[000:42:00;11] CAMERAS THERE TO RECORD IT,  
[000:42:01;28] RIGHT?  
[000:42:02;11] THAT'S NOT A MATTER OF  
[000:42:03;22] SPECULATION.  
[000:42:04;08] THAT'S WHAT YOU DO.  
[000:42:05;26] AND TODAY TO HAVE IT AT  
[000:42:07;16] THE FINISH LINE OF THE  
[000:42:08;27] BOSTON MARATHON.  
[000:42:09;24] WHOEVER PUT THOSE BOMBS  
[000:42:11;16] THERE WAS -- COULD SAY WITH  
[000:42:13;12] GREAT CERTAINTY THAT THERE  
[000:42:14;11] WOULD BE CAMERAS ON THIS  
[000:42:16;06] EVENT.  
[000:42:16;19] AND THAT IT WOULD BE VERY  
[000:42:17;18] QUICK AND EASY TO GET LIVE  
[000:42:19;18] COVERAGE AFTERWARDS AND  
[000:42:20;17] THAT THERE WOULD BE A  
[000:42:21;15] RECORD OF WHAT YOU DID THAT  
[000:42:23;05] WOULD LAST FOR GENERATIONS  
[000:42:25;08] BEYOND ANY OF US.  
[000:42:27;07] THIS PICTURE RIGHT NOW IS  
[000:42:30;02] FOREVER WHAT HAPPENED ON --  
[000:42:31;02] IN BOSTON ON PATRIOTS DAY  
[000:42:33;17] IN 2013.  
[000:42:34;01] BECAUSE THE CAMERAS WERE  
[000:42:35;11] THERE AND RECORDED IT  
[000:42:37;21] HAPPEN.  
[000:42:38;05] WERE I TELLING YOU ABOUT IT  
[000:42:39;15] NOW, AND EXPLAINING TO YOU  
[000:42:42;12] THAT THERE WERE MASS  
[000:42:44;04] CASUALTIES AND THE SCENE  
[000:42:45;04] WAS CHAOTIC WOULD NOT HAVE  
[000:42:46;15] NEARLY THE IMPACT ON THE  
[000:42:48;12] COLLECTIVE PSYCHE THAT THIS  
[000:42:49;28] VIDEO DOES.  
[000:42:50;18] IT FOR THE PEOPLE WHO WERE  
[000:42:52;25] THERE BUT NOT FOR THE REST  
[000:42:54;16] OF US.  
[000:42:55;02] IF THERE HADN'T BEEN VIDEO  
[000:42:56;07] OF THE WORLD TRADE CENTER  
[000:42:57;22] ATTACK AS A SEPARATE AND  
[000:42:58;26] NOT RELATED IN ANYWAY WE  
[000:43:00;04] WOULD ALL HAVE DIFFERENT  
[000:43:02;13] COLLECTIVE MEMORIES.  
[000:43:03;05] WE KNOW WHAT THEY'RE AND  
[000:43:04;11] THEY CAME FROM THE  
[000:43:06;05] TELEVISION IMAGES.  
[000:43:07;02] THIS IS WHAT WE WILL  
[000:43:07;25] REMEMBER FROM HERE.  
[000:43:08;20] WHOEVER PLANTED THOSE  
[000:43:10;04] BOMBS, WITHOUT ANY QUESTION  
[000:43:10;29] KNEW THAT ON THE PHONE WITH  
[000:43:12;02] US NOW THE RUNNER DEMI  
[000:43:14;07] CLARK, SHE WAS RUNNING THE  
[000:43:15;15] MARATHON, SAYS SHE WAS JUST  
[000:43:16;20] CROSSING THE FINISH LINE AS  
[000:43:18;07] THE BOMB BLAST ROCKED THE  
[000:43:20;02] STREET.  
[000:43:20;16] DEMI, HOW ARE YOU?  
[000:43:21;18] ARE YOU SAFE?  
[000:43:23;03] >> YES WE'RE AT OUR HOTEL  
[000:43:24;21] IN BOSTON RIGHT NOW.  
[000:43:26;24] >> Shepard: SO YOU ARE  
[000:43:27;15] CROSSING THE FINISH LINE.  
[000:43:28;26] AND, AS YOU DID WAS PART  
[000:43:30;10] OF YOUR THINKING THAT MAYBE  
[000:43:31;13] THIS IS PART OF A PATRIOTS  
[000:43:33;17] DAY CELEBRATION OR BECAUSE  
[000:43:34;12] YOU HAD CROSSED IT WAS  
[000:43:35;22] CLEARLY BEHIND YOU, WHAT  
[000:43:36;19] WAS YOUR THINKING?  
[000:43:37;24] >> HONESTLY, IT WAS.  
[000:43:39;17] I THINK -- I LITERALLY HIT  
[000:43:42;05] THE FINISH LINE AS IT  
[000:43:43;23] HAPPENED AND LOOKED AT AN  
[000:43:45;17] OFFICIAL WHO WAS FACING  
[000:43:46;15] THAT WAY AND HE HAD THIS  
[000:43:47;24] LOOK OF HORROR ON HIS FACE.  
[000:43:49;16] AND SO I KNEW IT WASN'T  
[000:43:50;29] RIGHT.  
[000:43:51;12] IT JUST KIND OF EXPLODED  
[000:43:52;12] ALL OUR EARDRUMS, TOO.  
[000:43:54;07] SO IT JUST WASN'T RIGHT.  
[000:43:55;14] WE KNEW IT WASN'T RIGHT.  
[000:43:58;07] >> Shepard: HUH.  
[000:43:58;25] AND AFTER THAT HAPPENED,  
[000:44:00;09] THE MOMENTS AFTER THE FIRST  
[000:44:02;08] BLAST, WHAT DID YOU DO AND  
[000:44:03;18] WHERE WERE YOU WHEN THE  
[000:44:04;16] SECOND HIT?  
[000:44:06;03] >> I WAS LOOKING TO THE  
[000:44:08;01] LEFT AND SAW JUST CARNAGE.  
[000:44:11;02] I MEAN SOMETHING OUT OF A  
[000:44:12;08] WAR ZONE.  
[000:44:12;26] IT WAS PEOPLE UP AGAINST  
[000:44:14;20] FENCES.  
[000:44:15;04] BLOOD EVERYWHERE.  
[000:44:15;23] RUN ARERS DOWN TO MY LEFT.  
[000:44:17;25] AND GLASS AND THEN THE  
[000:44:19;19] OTHER EXPLOSION WENT OF  
[000:44:20;24] OFF.  
[000:44:21;06] MY FAMILY WAS IN THE  
[000:44:22;14] BLEACHER SECTION.  
[000:44:23;08] MY THREE OUTCOME DAUGHTERS  
[000:44:24;04] AND MY HUSBAND.  
[000:44:25;08] I IMMEDIATELY THOUGHT OH MY  
[000:44:27;04] GOODNESS ANOTHER ONE COULD  
[000:44:28;01] GO OFF.  
[000:44:29;04] HOW DO I GET THEM OUT OF  
[000:44:30;10] HERE AS SOON AS POSSIBLE?  
[000:44:31;25] >> Shepard: AND THEN  
[000:44:32;15] ANOTHER ONE DID?  
[000:44:33;03] >> YES.  
[000:44:34;06] AND AWAY FROM US BUT  
[000:44:36;09] IMMEDIATELY I JUST THOUGHT  
[000:44:37;09] YOU KNOW, I THINK IT WAS  
[000:44:39;21] MOTHER'S INSTINCT IS WHAT  
[000:44:40;21] CAN I DO TO GET MY KIDS OUT  
[000:44:42;06] OF HERE BECAUSE THEY ARE  
[000:44:43;13] SEVEN AND NINE AND DON'T  
[000:44:44;16] KNOW WHAT TO DO AND THE  
[000:44:46;07] SITUATION LIKE THIS.  
[000:44:47;04] >> Shepard: WHAT DID YOU  
[000:44:48;22] DO?  
[000:44:49;04] >> I TRIED MY BEST TO GET  
[000:44:50;06] TO THEM.  
[000:44:52;02] MY HUSBAND 6'4", 240.  
[000:44:53;27] I SAW HIM WITH ONE CHILD  
[000:44:55;14] UNDER EACH ARM.  
[000:44:56;06] I HAD JUST SEEN THEM.  
[000:44:57;22] SO I KNEW HOW TO SIGHTED  
[000:44:59;17] THEM FROM THE FINISH.  
[000:45:00;22] HE WAS MAKING HIS WAY TO  
[000:45:02;15] ME.  
[000:45:02;27] OFFICIALS WERE TRYING  
[000:45:03;20] NECESSARILY TO KEEP US OFF  
[000:45:04;14] THE COURSE.  
[000:45:05;04] SO I JUST KIND OF SAID I  
[000:45:06;06] HAVE GOT TO GO TO MY FAMILY  
[000:45:08;00] AND JUST WAS IN TEARS.  
[000:45:09;21] ABSOLUTE TEARS.  
[000:45:11;09] >> Shepard: I'M GLAD YOU  
[000:45:12;01] ARE ALL SAFE.  
[000:45:12;18] >> THANK YOU.  
[000:45:13;27] >> Shepard: WE'RE WAITING  
[000:45:14;20] FOR THE NEWS CONFERENCE TO  
[000:45:15;13] BEGIN AND WE'LL TAKE YOU TO  
[000:45:16;15] THAT LIVE AFTER THIS.
[000:45:46;05] It's Monday.  A brand new start. 
[000:45:47;08] Your chance to rise and shine.  With
[000:45:48;19] CenturyLink as your  trusted technology
[000:45:49;12] partner  you can do just that.  With
[000:45:54;12] our visionary   cloud infrastructure
[000:45:55;20] global broadband network and  custom
[000:45:56;09] communications solutions,  your business
[000:45:58;06] is more   reliable - secure - agile.
[000:46:01;19] And with responsive,  dedicated support,
[000:46:05;10] we help you shine  every day of the
[000:46:06;01] week.
[000:46:14;20] ALL STATIONS COME OVER TO  MISSION
[000:46:15;11] A FOR A FINAL GO.  THIS IS FOR REAL
[000:46:17;26] THIS TIME.
[000:46:18;21] STEP SEVEN POINT  TWO ONE TWO.
[000:46:21;29] RIFY AND LOCK.
[000:46:23;00] COMMAND IS LOCKED.
[000:46:26;19] FIVE SECONDS.
[000:46:28;03] THREE, TWO, ONE.
[000:46:33;10] STANDING BY FOR CAPTURE.
[000:46:34;06] THE MOST INNOVATIVE  SOFTWARE ON THE
[000:46:34;28] PLANET...
[000:46:37;21] DRAGON IS CAPTURED.
[000:46:38;11] IS CONNECTING TODAY'S LEADING  COMPANIES
[000:46:39;07] TO PLACES BEYOND IT.
[000:46:42;07] SIEMENS. ANSWERS.
[000:46:45;02] WE KNOW ALL YOUR INVESTMENTS  MAY
[000:46:45;22] NOT BE WITH FIDELITY  BUT WE CAN STILL
[000:46:46;27] HELP YOU SEE  YOUR BIG PICTURE.
[000:46:49;26] WITH THE FIDELITY  GUIDED PORTFOLIO
[000:46:50;17] SUMMARY
[000:46:51;25] YOU CHOOSE  WHICH ACCOUNTS TO TRACK
[000:46:54;11] AND USE FIDELITY'S ANALYTICS  TO SPOT
[000:46:55;05] TRENDS
[000:46:57;06] GAIN INSIGHTS, AND FIGURE OUT  WHAT
[000:46:57;27] YOU WANT TO DO NEXT.
[000:47:00;21] ALL IN ONE PLACE.
[000:47:02;13] I'M MEREDITH STODDARD
[000:47:03;28] AND I HELPED CREATE
[000:47:04;20] THE FIDELITY GUIDED  PORTFOLIO SUMMARY.
[000:47:06;26] IT'S ONE MORE INNOVATIVE REASON
[000:47:08;13] SERIOUS INVESTORS
[000:47:09;12] ARE CHOOSING FIDELITY.
[000:47:10;05] NOW GET 200 FREE TRADES    WHEN YOU
[000:47:10;29] OPEN AN ACCOUNT.
[000:47:14;26] COPD MAKES IT HARD TO BREATHE... 
[000:47:16;04] BUT WITH ADVAIR,  I'M BREATHING BETTER.
[000:47:19;19] SO NOW I CAN HELP MAKE THIS  A GREAT
[000:47:20;11] BLOCK PARTY.  ♪ ♪    [ Male Announce
[000:47:25;19] ]    ADVAIR IS CLINICALLY PROVEN 
[000:47:27;05] TO HELP SIGNIFICANTLY IMPROVE    LUNG
[000:47:27;29] FUNCTION.    UNLIKE MOST COPD MEDICATIONS,
[000:47:31;25] ADVAIR CONTAINS    BOTH AN ANTI-INFLAMMATORY
[000:47:34;20] AND A LONG-ACTING    BRONCHODILATOR
[000:47:36;21] WORKING TOGETHER    TO HELP IMPROVE
[000:47:37;24] YOUR LUNG FUNCTION ALL DAY.    ADVAIR
[000:47:39;28] WON'T REPLACE    FAST-ACTING INHALERS
[000:47:42;26] FOR SUDDEN SYMPTOMS    AND SHOULD
[000:47:43;23] NOT BUSED    MORE THAN TWICE A DAY.
[000:47:45;20] PEOPLE WITH COPD TAKING ADVAIR   
[000:47:47;22] MAY HAVE    A HIGHER CHANCE OF PNEUMONIA.
[000:47:49;18] ADVAIR MAY INCRSE    YOUR RISK OF
[000:47:50;11] OSTEOPOROSIS     SOME EYE PRLEMS.
[000:47:53;20] TELL YOUR DOCTOR    IF YOU HAVE A
[000:47:54;11] HEART CONDITION    OR HIGH BLOOD PRESSURE
[000:47:56;15] BEFORE TAKING ADVAIR.  ASK YOUR DOCTOR
[000:47:59;26] IF INCLUDING ADVAIR COULD HELP  IMPROVE
[000:48:00;20] YOUR LUNG FUNCTION.    [ Male Announcer
[000:48:03;28] ]    ADVAIR DISKUS    FLUTICASONE
[000:48:05;10] PROPIONATE AND    SALMETEROL INHALATION
[000:48:06;05] POWDER.    GET YOUR FIRST PRESCRIPTION
[000:48:09;05] FREE    AND SAVE ON REFILLS    AT
[000:48:10;28] ADVAIRCOPD.COM.    
[000:48:24;26] >> Shepard: CONTINUING  
[000:48:26;11] COVERAGE OF THE BOMBING  
[000:48:27;03] BOSTON MAYOR THOB.  
[000:48:27;22] SPOT WE ARE WAITING FOR THE  
[000:48:28;16] NEWS CONFERENCE.  
[000:48:29;04] WE HAVE AN IDEA NOW WHY  
[000:48:30;16] THIS HAS BEEN POSTPONED.  
[000:48:32;00] IT WAS SUPPOSED TO BEGIN AT  
[000:48:33;22] 7 EASTERN.  
[000:48:34;07] IT STILL HASN'T HAPPENED.  
[000:48:35;05] THE FBI IS NOW INVOLVED.  
[000:48:36;15] THIS WILL BE A JOINT NEWS  
[000:48:41;27] CONFERENCE AIM THE AGENCIES  
[000:48:44;01] INVOLVED.  
[000:48:44;16] THE FBI LENDING ASSISTANCE  
[000:48:45;11] AS THE FBI PUTS IT.  
[000:48:47;10] THIS NEWS CONFERENCE NOW  
[000:48:48;16] SCHEDULED FOR 8:30 P.M.  
[000:48:50;15] EASTERN DAYLIGHT TIME.  
[000:48:51;10] WE'LL HAVE LIVE COVERAGE,  
[000:48:52;12] OF COURSE, DURING A LIVE  
[000:48:53;29] EDITION OF THE O'REILLY  
[000:48:55;01] FACTOR.  
[000:48:55;15] WE WILL BE LIVE THROUGHOUT  
[000:48:56;10] THE NIGHT OBVIOUSLY SO THAT  
[000:48:57;20] WE CAN COVER EVENTS AS  
[000:48:59;25] WARRANTED.  
[000:49:00;10] SO THAT NEWS CONFERENCE NOW  
[000:49:02;07] JUST ABOUT WHAT, 42  
[000:49:05;12] MINUTES AWAY.  
[000:49:06;19] INVESTIGATORS HAVE BEGUN  
[000:49:07;25] THE PAIN-STAKING WORK OF  
[000:49:09;11] FINDING EVIDENCE IN TODAY'S  
[000:49:11;21] ATTACK.  
[000:49:12;05] IN CASE LIKE, THIS  
[000:49:13;07] AUTHORITIES TYPICALLY  
[000:49:13;28] SEARCH THE SCENE FOR  
[000:49:15;03] SHRAPNEL, ANYTHING THAT CAN  
[000:49:16;12] PROVIDE A CLUE TO WHAT  
[000:49:17;03] SORTS OF EXPLOSIVE DEVICES  
[000:49:20;19] EXPLODED.  
[000:49:21;04] SOME INSIGHT FROM STEVE  
[000:49:22;08] WOLF A PYROTECHNIC    ENGINEER  
[000:49:24;25] WHO JOINS US LIVE.  
[000:49:26;10] STEVE, FROM WHAT'S LEFT AT  
[000:49:27;25] THE SCENE AFTER SOMETHING  
[000:49:30;03] EXPLODES, YOU CAN LEARN A  
[000:49:30;26] LOT ABOUT WHAT'S FIRST  
[000:49:32;04] THERE.  
[000:49:32;17] >> THAT'S RIGHT, SHEP.  
[000:49:33;09] YOU CAN REALLY LEARN  
[000:49:34;23] TREMENDOUS AMOUNT.  
[000:49:35;17] BUT IT'S A VERY PAINSTAKING  
[000:49:37;27] PROCESS.  
[000:49:38;11] MUCH LIKE PUTTING AN  
[000:49:39;14] AIRPLANE BACK TOGETHER  
[000:49:40;10] AFTER IT CRASHES.  
[000:49:41;06] ALL OF THE PIECE GOES  
[000:49:42;08] SOMEWHERE.  
[000:49:42;23] IT'S JUST A MATTER OF  
[000:49:43;14] FINDING THEM.  
[000:49:44;15] LOCATING THEM, IDENTIFYING  
[000:49:45;26] THEM, AND TR
[000:49:46;26] THEM BACK TOGETHER.  
[000:49:48;08] THEY ARE GOING TO BE TRYING  
[000:49:49;05] TO FIND OUT WHETHER THE  
[000:49:50;23] DEVICE CONTAINS OWN  
[000:49:54;17] SHRAPNEL.  
[000:49:55;02] AS IN THE CASE OF A PIPE  
[000:49:55;25] BOMB OR WHETHER THEY USED  
[000:49:57;03] SOMETHING ELSE AS SHRAPNEL  
[000:49:59;05] AND SIMPLY PRO-FINDED --  
[000:50:02;13] PROVIDED EXPLOSIVE AS  
[000:50:04;29] PROPELLANT.  
[000:50:05;15] >> Shepard: GOT A NUMBER OF  
[000:50:06;09] REPORTS FROM EYEWITNESSES  
[000:50:07;02] WHO HAD BEEN RIGHT THERE  
[000:50:07;24] WHEN ONE OF THE EXPLOSIONS  
[000:50:09;16] HAPPENED.  
[000:50:10;03] ONE PARTICULAR MAN SAID I  
[000:50:11;03] REACHED INTO MY POCKET, HE  
[000:50:12;08] SAID HE DIDN'T EVEN KNOW  
[000:50:13;15] WHY AND FOUND WHAT LOOKED  
[000:50:14;26] LIKE SHOTGUN PELLETS IN HIS  
[000:50:17;02] POCKET.  
[000:50:18;13] IMMEDIATELY, YOU KNOW THAT  
[000:50:19;06] IS SOME SORT OF SHRAPNEL.  
[000:50:20;12] YOU DON'T KNOW EXACTLY WHAT  
[000:50:21;25] IT IS, BUT YOU KNOW THEN  
[000:50:23;21] SOMEBODY SET A BOMB.  
[000:50:25;10] >> YEAH.  
[000:50:25;26] IT'S NOT VERY LIKELY THAT  
[000:50:27;23] SOMEONE FOUND A PILE OF  
[000:50:29;01] SHRAPNEL THERE AND STUCK A  
[000:50:30;11] BOMB IN IT.  
[000:50:31;13] CERTAINLY IN THIS CASE IT  
[000:50:32;13] SOUNDS LIKE THE SHRAPNEL  
[000:50:33;23] WAS ALL INCLUDED.  
[000:50:35;16] THE THING WITH THESE BOMBS  
[000:50:36;24] THOUGH IS THAT THERE IS SO  
[000:50:38;07] MUCH ENERGY CONTAINED IN  
[000:50:39;12] SUCH A TINY AMOUNT OF  
[000:50:40;24] CHEMICAL THAT YOU CAN DO  
[000:50:42;29] TREMENDOUS DAMAGE WITH  
[000:50:44;03] SOMETHING, YOU KNOW,  
[000:50:44;25] ESSENTIALLY THE SIZE OF A  
[000:50:45;29] TENNIS BALL.  
[000:50:50;04] >> Shepard: AND NOW A  
[000:50:50;25] MATTER TO PUT IT ALL BACK  
[000:50:52;05] TOGETHER.  
[000:50:52;20] THANK YOU.  
[000:50:53;05] I NEED TO GET --  
[000:50:53;23] >> -- OF COURSE.  
[000:50:54;25] FINDING OUT WHAT IT WAS  
[000:50:56;10] ISN'T REALLY THE GOAL.  
[000:50:57;08] THE GOAL IS FINDING OUT WHO  
[000:50:58;11] DID IT AND WHY.  
[000:50:59;19] >> Shepard: AND FROM  
[000:51:00;09] FINDING OUT WHAT IT WAS YOU  
[000:51:01;15] CAN FIND OUT THE SIGNATURE  
[000:51:02;19] OF SOME GROUPS, AT LEAST  
[000:51:04;05] THAT'S WHAT THEY HAVE TOLD  
[000:51:05;13] US FROM THE FBI TODAY.  
[000:51:06;11] WE HAVE TO HIT A QUICK  
[000:51:08;00] COMMERCIAL BREAK.  
[000:51:08;20] WE'RE GOING TO COME BACK  
[000:51:09;16] WITH CONTINUING COVERAGE  
[000:51:10;22] FROM BOSTON AND THE  
[000:51:11;20] O'REILLY FACTOR JUST  
[000:51:12;10] MINUTES AWAY.  
[000:51:14;07] LIVE TONIGHT AND BREAKING  
[000:51:15;04] NEWS COVERAGE.
[000:51:20;03] Using supercomputing  and mobile technology
[000:51:22;06] over our secure network,
[000:51:24;07] Verizon innovators  are building a
[000:51:24;27] world of
[000:51:26;22] medical treatment data  in the cloud.
[000:51:29;12] So doctors can make  a more informed
[000:51:30;02] diagnosis
[000:51:32;10] from anywhere, in seconds
[000:51:34;14] rather than months.
[000:51:35;20] Because the world's  biggest challenges
[000:51:37;18] deserve even  bigger solutions.
[000:51:40;15] Powerful answers.
[000:51:42;21] Verizon.
[000:52:23;26] IM.
[000:52:25;04] >> IDENTITY THEFT WAS A HUGE
[000:52:27;04] HUGE PROBLEM FOR ME AND IT'S
[000:52:29;18] GONE AWAY BECAUSE OF LIFELOCK.
[000:52:31;08] >> Announcer: WHILE NO ONE CAN
[000:52:32;14] STOP ALL IDENTITY THEFT,
[000:52:33;23] IF CRIMINALS DO STEAL
[000:52:34;26] YOUR INFORMATION, LIFELOCK
[000:52:36;04] WILL HELP FIX IT, WITH OUR
[000:52:37;18] $1 MILLION SERVICE GUARANTEE.
[000:52:40;05] DON'T WAIT UNTIL YOU BECOME
[000:52:41;08] THE NEXT VICTIM.
[000:52:42;13] YOU HAVE SO MUCH TO PROTECT
[000:52:43;28] AND NOTHING TO LOSE WHEN YOU
[000:52:45;08] CALL LIFELOCK NOW TO GET TWO
[000:52:47;05] FULL MONTHS OF IDENTITY THEFT
[000:52:48;14] PROTECTION RISK FREE.
[000:52:49;27] THAT'S RIGHT, 60 DAYS RISK-FREE.
[000:52:52;11] USE PROMO CODE: GETHELP.
[000:52:54;00] IF YOU'RE NOT COMPLETELY
[000:52:55;01] SATISFIED, NOTIFY LIFELOCK
[000:52:56;17] AND YOU WON'T PAY A CENT.
[000:52:58;06] ORDER NOW AND ALSO GET THIS
[000:52:59;21] SHREDDER TO KEEP YOUR DOCUMENTS
[000:53:00;28] OUT OF THE WRONG HANDS--
[000:53:02;05] A $29 DOLLAR VALUE, FREE.
[000:53:04;08] GET PROTECTED NOW.
[000:53:06;11] CALL THE NUMBER ON YOUR SCREEN
[000:53:07;17] OR GO TO LIFELOCK.COM TO TRY
[000:53:09;10] LIFELOCK PROTECTION RISK FREE
[000:53:10;18] FOR A FULL 60 DAYS.
[000:53:12;00] USE PROMO CODE: GETHELP.
[000:53:16;04] PLUS GET THIS DOCUMENT SHREDDER
[000:53:17;11] FREE-- BUT ONLY IF YOU
[000:53:18;23] ACT RIGHT NOW.
[000:53:20;10] CALL THE NUMBER ON YOUR SCREEN
[000:53:21;21] NOW!
[000:53:30;10] >> Shepard: 6 MINUTES  
[000:53:31;29] BEFORE 8:00 IN BOSTON LIFE  
[000:53:32;22] COVERAGE CONTINUES.  
[000:53:33;12] BILL HEMMER IS WITH US NOW  
[000:53:34;05] LIVE FROM BOSTON HILLS  
[000:53:36;18] BEACON NEIGHBORHOOD LIVE  
[000:53:37;10] FROM THE SCENE.  
[000:53:38;05] BILL?  
[000:53:38;18] >> GOOD EVENING.  
[000:53:39;29] RIGHT NEAR COPLEY SQUARE.  
[000:53:44;22] INCIDENT TODAY AT 2:AUTO  
[000:53:46;08] LOCAL FULL-TIME.  
[000:53:46;26] WE'RE NOW FIVE HOURS BEYOND  
[000:53:48;09] THAT SHEPARD, AND THE SCENE  
[000:53:49;21] TONIGHT NEITHER FINISH LINE  
[000:53:51;05] WHERE WE JUST CAME FROM IS  
[000:53:53;20] STUNNING.  
[000:53:54;05] THERE ARE THOUSANDS AND  
[000:53:56;08] THOUSANDS OF YELLOW BAGS.  
[000:53:58;03] THESE ARE BAGS OF PERSONAL  
