[000:00:00;11] OF  
[000:49:26;04] SIFT THROUGH THE WHOLE  
[000:49:27;27] CO-LODGE OF PHOTOS THEY HAD  
[000:49:29;00] AND FILM ALL THE WAY BEFORE  
[000:49:31;04] THE FINISH LINE TO THE  
[000:49:32;01] FINISH LINE.  
[000:49:32;23] BILL, THE IMPORTANT THING  
[000:49:33;19] RIGHT NOW IS THAT ANYBODY  
[000:49:34;16] THAT WAS IN THE AREA AFTER  
[000:49:36;06] THE FINISH LINE OUGHT TO BE  
[000:49:38;04] LOOKING AT THEIR FILM THAT  
[000:49:39;17] THEY THOUGHT WAS IRRELEVANT  
[000:49:40;25] PRIOR TO THIS EVENT BECAUSE  
[000:49:42;26] THESE INDIVIDUALS DROPPED  
[000:49:44;17] THE BOMBS ON THE STREET AND  
[000:49:45;27] KEPT ON WALKING.  
[000:49:47;11] SO, RIGHT BEYOND THEM DOWN  
[000:49:49;03] BOYLSTON STREET WE HAVE  
[000:49:50;28] SUBWAY ENTRANCES TO TWO  
[000:49:52;04] DIFFERENT SUBWAY STATIONS  
[000:49:52;27] AND PEOPLE COULD HAVE SEEN  
[000:49:54;05] THEM GOING INTO THE SUBWAY  
[000:49:57;24] STATION PEOPLE COULD HAVE  
[000:49:58;23] BEEN TAKING PICTURES FROM  
[000:49:59;20] BEYOND THE FINISH LINE AND  
[000:50:01;06] SEEN THESE FOLKS THERE.  
[000:50:02;13] THAT'S VERY IMPORTANT FOR  
[000:50:03;06] THEM TO LOOK AT THE FILM  
[000:50:04;19] AGAIN IF THEY HAD ANYTHING.  
[000:50:06;24] >> Bill: THAT'S A GREAT  
[000:50:07;16] POINT THERE IS A SUBWAY  
[000:50:10;02] STOP 30 YARDS WHERE WE ARE  
[000:50:11;00] GOING TONIGHT IN BOYLSTON  
[000:50:12;09] STREET.  
[000:50:14;14] BILL, YOU HAVE WORKED THESE  
[000:50:15;10] STORIES AND BEEN IN THOSE  
[000:50:16;16] INVESTIGATIVE ROOMS.  
[000:50:17;07] WHAT ELSE DO WE HAVE THAT  
[000:50:18;01] WE HAVE NOT YET SEEN?  
[000:50:19;11] >> WELL, I THINK BILL,  
[000:50:21;00] PROBABLY YOU ARE NOT GOING  
[000:50:21;23] TO COME OUT AND TELL THE  
[000:50:23;08] PUBLIC EVERYTHING THAT YOU  
[000:50:24;05] HAVE.  
[000:50:24;18] YOU NORTH GOING TO HIDE  
[000:50:26;01] EVERYTHING TO TRY TO FOOL  
[000:50:27;00] THE PUBLIC BUT WHAT YOU ARE  
[000:50:28;07] GOING TO DO IS KEEP SOME  
[000:50:30;05] THINGS IN RESERVE THAT ONLY  
[000:50:32;04] SOMEBODY WOULD KNOW WHO HAD  
[000:50:33;21] BEEN THERE.  
[000:50:34;16] THE OTHER SIDE OF THAT COIN  
[000:50:36;09] IS, THEY NEED TO -- THEY  
[000:50:38;01] NEED TO LOOK AT EVERYTHING  
[000:50:40;08] THAT IS THERE.  
[000:50:41;03] AND SOME OF THESE THINGS  
[000:50:42;04] THEY ARE USING TO FILTER  
[000:50:44;18] SOME OF THE CALLS THAT ARE  
[000:50:45;14] COMING IN.  
[000:50:46;06] THEY ARE GETTING THOUSANDS  
[000:50:46;29] OF CALLS RIGHT NOW.  
[000:50:47;27] THERE ARE SOME THINGS THAT  
[000:50:48;23] THEY KNOW THAT THEY HAVEN'T  
[000:50:51;15] PUT OUT WHEREBY THEY COULD  
[000:51:03;09] DISCOUNT SOME THE CALLS  
[000:51:04;04] THEY THAT THEY ARE  
[000:51:05;26] RECEIVING.  
[000:51:06;11] >> Bill: THEY HAD TO BE RED  
[000:51:07;05] JR. TO THE ENACT THAT THEY  
[000:51:07;28] COULD GET AN ABSOLUTE AFTER  
[000:51:12;16] LANCASTER OF -- AFTER    --  
[000:51:18;17] AVALANCHE.  
[000:51:19;02] HAVE YOU BEEN THERE SINCE  
[000:51:19;27] THE BEGINNING LIKE THE  
[000:51:22;07] ENERGIZER BUNNY.  
[000:51:22;25] THE BOTTOM LINE IS THEY  
[000:51:23;18] HAVE A TO BE OF PEOPLE IN  
[000:51:24;21] RESERVE AND HAVE THESE  
[000:51:26;01] ELECTRONIC THINGS SET UP.  
[000:51:26;27] THEY DON'T NECESSARILY HAVE  
[000:51:27;29] TO TAKE THE CALLS IN THE  
[000:51:29;14] BOSTON AREA.  
[000:51:30;07] THEY CAN TAKE THEM ANY  
[000:51:31;11] PLACE IN THE COUNTRY  
[000:51:32;04] THAT'S HOW THEY ARE GOING  
[000:51:32;27] TO HANDLE IT.  
[000:51:34;19] >> Bill: BILL, THANK YOU.  
[000:51:35;26] BILL GAVIN WITH US AGAIN  
[000:51:36;28] TONIGHT IN BOSTON.  
[000:51:38;01] FORMER ASSISTANT DIRECTOR  
[000:51:38;24] IN CHARGE OF THE FBI IN NEW  
[000:51:39;28] YORK CITY.  
[000:51:40;17] LET'S GET A BREAK HERE IN A  
[000:51:42;29] MOMENT OUR COVERAGE  
[000:51:43;27] CONTINUES OF THE BOMBINGS  
[000:51:45;11] AT THE BOSTON MARATHON.  
[000:51:46;15] THESE ARE SIGNIFICANT  
[000:51:47;20] DEVELOPMENTS.  
[000:51:48;07] ONES THAT WE HAVE BEEN  
[000:51:49;11] WAITING DAYS FOR.  
[000:51:50;02] THE FBI NOW SEARCHING FOR  
[000:51:51;04] TWO SUSPECTS.  
[000:51:52;15] AND THEY ARE ASKING FOR  
[000:51:53;13] YOUR HELP.  
[000:51:54;19] TWO MEN, THE FEDS NOW SAY  
[000:51:55;26] ARE CONNECTED THE ATTACK  
[000:51:57;08] THAT KILLED THREE PEOPLE.  
[000:51:58;13] AND SEPTEMBER NEARLY 200  
[000:52:00;12] OTHERS TO THE HOSPITAL HERE  
[000:52:01;27] IN BOSTON.  
[000:52:02;16] MORE ON THAT AS OUR  
[000:52:03;18] COVERAGE CONTINUES IN  
[000:52:05;14] BOYLSTON STREET AS WE  
[000:52:06;13] REMEMBER THE THREE WHO WILL  
[000:52:08;06] NO LONGER BE WITH US HERE  
[000:52:12;10] IN BOSTON.
[000:53:43;13] [ Male Announcer ]    DUNES, DESERT,
[000:53:44;05] OR TRAIL    ONLY RZR DELIVERS.   
[000:53:47;06] NOW'S THE TIME TO BUY    DURING THE
[000:53:48;07] POLARIS    XP SALES EVENT.    TAKE
[000:53:50;22] YOUR PICK    OF OUR NEW LIMITED EDITION
[000:53:51;17] RZRs    AND GET FINANCING    AS LOW
[000:53:54;12] AS 2.99%.    SAVE EVEN MORE    WITH
[000:53:57;19] REBATES UP TO $500...    OR TOTALLY
[000:54:00;15] CUSTOMIZE    YOUR NEW RZR    WITH
[000:54:02;18] UP TO $500    OF FREE POLARIS ACCESSORIES.
[000:54:06;21] RAZOR SHARP PERFORMANCE    IS WAITING
[000:54:07;14] FOR YOU    DURING THE POLARIS    XP
[000:54:09;13] SALES EVENT.
[000:54:13;17] ♪ ♪    [ Male Announcer ]    FROM
[000:54:14;20] THE WAY THE BRISTLES MOVE    TO THE
[000:54:15;12] WAY THEY CLEAN,    ONCE YOU TRY AN
[000:54:18;11] ORAL-B    DEEP SWEEP POWER BRUSH,
[000:54:21;08] YOU'LL NEVER GO BACK    TO A REGULAR
[000:54:22;00] MANUAL BRUSH.    ITS THREE CLEANING
[000:54:24;05] ZONES    WITH DYNAMIC POWER BRISTLES
[000:54:26;17] REACH BETWEEN TEETH    WITH MORE BRUSH
[000:54:27;11] MOVEMENTS    TO REMOVE    UP TO 100%
[000:54:29;11] MORE PLAQUE    THAN A REGULAR MANUAL
[000:54:31;20] BRUSH.    AND EVEN 76% MORE PLAQUE
[000:54:33;03] THAN SONICARE FLEXCARE    IN HARD
[000:54:36;09] TO REACH AREAS.    ORAL-B DEEP SWEEP
[000:54:37;21] 5000    POWER BRUSH.    LIFE OPENS
[000:54:41;04] UP WHEN YOU DO.
[000:55:23;07] >> Bill: UPDATING TOP STORY  
[000:55:24;28] TONIGHT.  
[000:55:25;13] HUGE DEVELOPMENT IN THE  
[000:55:26;05] INVESTIGATION OF THE BOSTON  
[000:55:26;29] MARATHON BOMBING.  
[000:55:27;18] JUST A COUPLE HOURS AGO THE  
[000:55:28;12] FBI RELEASING THE  
[000:55:29;01] SURVEILLANCE VIDEO OFF THE  
[000:55:29;24] BOMBING SUSPECTS.  
[000:55:30;13] THE IMAGES OF TWO MEN IN  
[000:55:31;05] BASEBALL HATS WALKING DOWN  
[000:55:32;13] BOYLSTON STREET WITH  
[000:55:34;11] BACKPACKS IN THE DIRECTION  
[000:55:35;04] OF THE MARATHON FINISH  
[000:55:37;00] LINE.  
[000:55:37;13] ALL OF THIS SHORTLY BEFORE  
[000:55:38;08] THE DEADLY BLAST WENT OFF.  
[000:55:39;21] THE FBI HAS NAMED THEM  
[000:55:41;13] SUSPECT ONE WITH A DARK  
[000:55:43;19] HAT, SUSPECT 2 WITH THE  
[000:55:44;17] WHITE HAT.  
[000:55:45;11] AND INVESTIGATORS SAY THEY  
[000:55:47;07] CONSIDER THE SUSPECT ARMED  
[000:55:48;04] AND EXTREMELY DANGEROUS.  
[000:55:50;11] CRAIG BOSWELL LIVE HERE IN  
[000:55:51;23] BOSTON WITH US HERE AGAIN  
[000:55:53;10] TONIGHT.  
[000:55:53;24] CRAIG, GOOD EVENING.  
[000:55:54;15] >> WILL, GOOD EVENING TO  
[000:55:55;25] YOU.  
[000:55:56;07] ADDING TO THAT FBI SAYS IF  
[000:55:57;15] YOU SEE THEM, YOU KNOW  
[000:55:58;18] THEM, DO NOT APPROACH THEM.  
[000:56:00;00] DO NOT TRY TO APPREHEND  
[000:56:02;04] THEM.  
[000:56:02;18] ALSO, THIS IS COMING ON AN  
[000:56:04;08] ENORMOUSLY BUSY NEWS DAY  
[000:56:05;11] HERE IN BOSTON.  
[000:56:06;14] THIS VIDEO AND I DON'T  
[000:56:07;26] THINK WE CAN SHOW THIS TO  
[000:56:08;19] YOU ENOUGH.  
[000:56:09;08] THIS VIDEO AND THESE  
[000:56:11;12] PHOTOS.  
[000:56:12;07] INCREDIT DIB CLEAR THESE  
[000:56:13;00] TWO SUSPECTS AT ONE POINT  
[000:56:14;21] THEY ARE SEEING ONE WALK  
[000:56:16;13] BEHIND THE OTHER NEAR THE  
[000:56:17;12] FINISH LINE.  
[000:56:18;17] ONE IN A BLACK HAT, THE  
[000:56:19;25] GENTLEMAN IN THE BLACK HAT  
[000:56:20;21] AND A WHITE COLLARLESS  
[000:56:25;26] SHIRT.  
[000:56:26;09] THE OTHER A WHITE HAT  
[000:56:27;20] TURNED AROUND BACKWARDS  
[000:56:28;15] THAT IS SUSPECT NUMBER 2.  
[000:56:29;24] THAT IS IN THE AREA OF THE  
[000:56:31;08] SECOND BOMB BLAST.  
[000:56:32;08] THEY HAVE SEEN HIM OF VIDEO  
[000:56:33;09] OF ACTUALLY SETTING THAT  
[000:56:35;08] JACKET DOWN THERE OR THAT  
[000:56:38;07] WITH THAT BOMB ENCASED IN  
[000:56:40;04] THAT.  
[000:56:40;17] THAT'S THE ONE THAT THE TWO  
[000:56:41;24] GENTLEMEN WANT YOU TO CALL  
[000:56:42;18] IN DO NOT APPROACH THEM AND  
[000:56:43;14] LET THEM KNOW IF YOU KNOW  
[000:56:44;28] THESE TWO GENTLEMEN,  
[000:56:45;18] SOMEONE KNOWS THEM AND SEES  
[000:56:49;07] WHO WILL HE THEY ARE.  
[000:56:52;15] >> Bill: CRAIG BOSWELL  
[000:56:53;16] THANKS.  
[000:56:54;00] DOWN THE STREET HERE FROM  
[000:56:54;23] OUR LOCATION.  
[000:56:55;10] A MOVING SCENE AT LAST  
[000:56:56;18] NIGHT'S BOSTON BRUINS  
[000:56:57;10] HOCKEY GAME.  
[000:56:57;27] THE FIRST MAJOR SPORTING  
[000:56:59;10] EVENT OF ANY KIND HERE  
[000:57:00;11] SINCE THE BOMBINGS AND  
[000:57:01;10] BEFORE THE PUCK WAS  
[000:57:02;20] DROPPED.  
[000:57:03;04] THAT TEAM PAID TRIBUTE TO  
[000:57:04;02] THE VICTIMS, THE FIRST  
[000:57:05;17] RESPONDERS AND ALL THOSE  
[000:57:07;24] AFFECTED.  
[000:57:08;09] BOSTON STRONG DISPLAYED ON  
[000:57:09;02] THE ICE AND THROUGH THE  
[000:57:11;06] ARENA.  
[000:57:11;19] FOLKS BROUGHT FLAGS AND  
[000:57:13;07] HAND MADE SIGNS.  
[000:57:14;02] WHEN IT CAME TIME FOR THE  
[000:57:16;12] STAR SPANGLED STAR-SPANGLED  
[000:57:20;05] BANNER TO START.  
[000:57:21;15] LONG TIME SINGER STARTED  
[000:57:22;17] BUT THE FANS HANDLED THE  
[000:57:26;05] REST.  
[000:57:26;21] ♪ O SAY DOES THAT  
[000:57:29;27] STAR-SPANGLED BANNER YET  
[000:57:34;14] WAVE  
[000:57:34;28] ♪ OVER THE LAND OF THE FREE  
[000:57:41;15] ♪ AND THE HOME OF THE BRAVE  
[000:57:46;25] [CHEERS AND APPLAUSE]
