[000:00:01;668] ARTICLES ABOUT MOMS.
[000:58:41;467] >> Shepard: YESTERDAY THE NEWSY
[000:58:43;002] WARNING TO THOSE THAT TRAVELLED
[000:58:45;572] TO AUSTRALIA THAT TOADS ARE
[000:58:47;540] TRYING TO HITCHHIKE TO GET INTO
[000:58:49;676] THE COUNTRY, NOW IT APPEARS
[000:58:55;582] SCORPIONS HAVE TAKEN NIGHT.
[000:58:56;583] FROM A FLIGHT FROM HOUSTON TO
[000:58:58;284] ECUADOR DELAYED DEPARTURE AFTER
[000:59:01;020] SOMEONE SPOTTED A SCORPION.
[000:59:02;255] SAID THE SCORPION EMERGED TO
[000:59:04;324] SHOCK AND HORROR FROM A
[000:59:09;062] PASSENGER'S CLOTHING.
[000:59:11;231] LAST MONTH, A SCORPION STUNG
[000:59:15;268] THIS GUY OUT OF A FLIGHT FROM
[000:59:18;738] HOUSTON.
[000:59:19;239] THE PARAMEDICS SAID HE WAS OKAY.
[000:59:22;108] THE FLIGHT GOT GOING HOURS LATER
[000:59:24;377] ON NEW JET BECAUSE THE OLD ONE
[000:59:27;447] NOW NEEDS TO BE DECONTAMINATED
[000:59:29;949] WITH FLAME FLOWERS.
[000:59:32;051] I DON'T KNOW.
[000:59:32;552] ON THIS DAY IN 1963, AN AMERICAN
[000:59:37;156] BECAME THE FIRST WOMAN TO FLY
[000:59:38;625] SOLO ACROSS THE PACIFIC OCEAN.
[000:59:41;060] BETTY MILLER MET PRESIDENT
[000:59:42;095] KENNEDY AFTER MAKING THE TRIP.
[000:59:44;297] SHE BROUGHT HER LUCKY TROLL DOLL
[000:59:45;865] THAT FLEW WITH HER.
[000:59:47;267] AT THE TIME SHE RAN A FLIGHT
[000:59:48;501] SCHOOL IN SANTA MONICA.
[000:59:50;370] SHE FLEW FROM CALIFORNIA TO
[000:59:53;106] AUSTRALIA TO DELIVER A PLANE TO
[000:59:54;807] A CUSTOMER.
[000:59:55;675] SHE FINISHED THE TRIP IN TWO
[000:59:57;543] WEEKS AS SHE AS HER TRUST Y CO
[001:00:03;983] PILOT SOARED INTO THE HISTORY
[001:00:05;785] BOOKS.
[001:00:06;085] SHOULD NEWS BREAK OUT, WE'LL
[001:00:08;288] BREAK IN BECAUSE BREAKING NEWS
[001:00:10;323] CHANGES EVERYTHING ON FOX NEWS
[001:00:11;824] CHANNEL.
[001:00:12;191] "YOUR WORLD" WITH NEIL CAVUTO IS
[001:00:15;194] NEXT.
[001:00:15;495] SEE YOU LATER.
[001:00:19;332] >> CONSIDERING CANCELLING THE
[001:00:22;201] DAILY PRESS BRIEFINGS?
[001:00:24;037] >> HE'S DISMAYED AS A LOT OF
[001:00:26;205] PEOPLE THAT WE COME OUT HERE DO,
[001:00:27;840] EVERYTHING WE CAN TO PROVIDE YOU
[001:00:30;276] AND THE AMERICAN PEOPLE ON WHAT
[001:00:31;911] HE'S DOING TO KEEP THE NATION
[001:00:34;447] SAFE AND GROW JOBS AND JET WE
[001:00:36;382] SEE TIME AND TIME AGAIN AN
[001:00:37;750] ATTEMPT TO PARSE EVERY LITTLE
[001:00:38;885] WORSE AND MAKE IT MORE OF A GAME
[001:00:41;587] OF "GOT YA."
[001:00:43;323] >> MAYBE THAT'S GOING BY WAY OF
[001:00:45;425] THE DINOSAUR.
[001:00:46;225] I'M NEIL CAVUTO.
[001:00:47;226] YOU'RE WATCHING "YOUR WORLD."
[001:00:48;661] WHAT IN THE WORLD IS THE FUTURE
[001:00:50;530] OF A PRESS GRIEVING WE HAVE
[001:00:52;265] TAKEN FOR GRANTED FOR MUCH OF
[001:00:53;566] THE MODERN TV ERA?
[001:00:55;168] IT COULD BE GOING OR CHANGING OR
[001:00:57;403] AT LEAST GETTING MINIMIZED.
